iter,acc,nmi,ari,loss
0,0.56383,0.00817,0.01567,0
140,0.55365,0.00632,0.01125,0.00119
280,0.54893,0.00567,0.00945,0.00522
420,0.55028,0.00604,0.00998,0.01867
560,0.55214,0.00615,0.01067,0.03457
700,0.55496,0.00675,0.01184,0.03591
840,0.55816,0.00761,0.01327,0.03768
980,0.55866,0.00781,0.01351,0.03407
1120,0.55831,0.0077,0.01335,0.0418
1260,0.55895,0.00781,0.01363,0.03323
1400,0.5567,0.00746,0.01266,0.02868
1540,0.55436,0.00699,0.01166,0.03718
1680,0.55351,0.00667,0.01128,0.03185
1820,0.55298,0.00649,0.01105,0.03651
1960,0.55123,0.00621,0.01035,0.02627
2100,0.55266,0.00645,0.01092,0.02328
2240,0.55093,0.00657,0.0103,0.02969
2380,0.55234,0.00688,0.01087,0.02748
2520,0.55233,0.00684,0.01086,0.0381
2660,0.54439,0.00538,0.00785,0.01988
2800,0.54514,0.00543,0.00811,0.0259
2940,0.54202,0.00485,0.00704,0.01815
3080,0.53965,0.00443,0.00627,0.021
3220,0.53427,0.00361,0.00468,0.03008
3360,0.53362,0.00345,0.0045,0.02037
3500,0.53388,0.00351,0.00458,0.01756
3640,0.53188,0.00323,0.00405,0.03632
3780,0.53547,0.00361,0.00501,0.01907
3920,0.53092,0.00305,0.0038,0.01684
4060,0.5229,0.00222,0.002,0.02931
4200,0.51876,0.00175,0.00127,0.01608
4340,0.51908,0.00169,0.00135,0.0259
4480,0.51764,0.0015,0.00114,0.02597
4620,0.51884,0.0016,0.00133,0.02142
4760,0.51978,0.00174,0.00147,0.02063
4900,0.51668,0.00145,0.00098,0.0161
5040,0.51894,0.00154,0.00136,0.01962
5180,0.51766,0.00147,0.00115,0.03076
5320,0.51779,0.00146,0.00117,0.03713
5460,0.50929,0.0008,0.00013,0.03271
5600,0.50634,0.00063,-0.00012,0.02876
5740,0.50519,0.00061,-0.00024,0.01401
5880,0.50147,0.00031,-0.00054,0.06678
6020,0.50113,0.0003,-0.00049,0.01039
6160,0.50113,0.00041,-0.00044,0.015
6300,0.50137,0.00045,-0.00047,0.0139
6440,0.50702,0.00087,-0.00021,0.02605
6580,0.50432,0.00079,-0.00049,0.01451
6720,0.50037,0.00054,-0.00075,0.01927
6860,0.50042,0.0005,-0.0007,0.01199
7000,0.5015,0.00038,-0.00064,0.02859
7140,0.5003,0.00045,-0.00063,0.01164
7280,0.5,0.00059,-0.00077,0.01375
7420,0.50068,0.00062,-0.00087,0.01168
7560,0.50058,0.00053,-0.00075,0.01347
7700,0.50053,0.00057,-0.00069,0.01073
7840,0.50835,0.00101,-0.00013,0.01132
7980,0.52133,0.00229,0.00165,0.01196
8120,0.52345,0.00254,0.00205,0.02988
8260,0.52325,0.00255,0.002,0.01226
8400,0.51936,0.0021,0.00128,0.01921
8540,0.52008,0.00233,0.00136,0.01445
8680,0.51888,0.0023,0.00111,0.0116
8820,0.52608,0.00309,0.00256,0.01277
8960,0.52365,0.00274,0.00205,0.00951
9100,0.52193,0.00246,0.00173,0.00919
9240,0.51606,0.00193,0.00068,0.12085
9380,0.51768,0.00196,0.00099,0.01654
9520,0.51618,0.00175,0.00078,0.01224
9660,0.51686,0.00191,0.00085,0.00954
9800,0.51649,0.00187,0.00079,0.05044
9940,0.52688,0.00286,0.00281,0.02976
10080,0.52806,0.00288,0.0031,0.01126
10220,0.52456,0.00273,0.00227,0.07007
10360,0.52578,0.00289,0.00253,0.01496
10500,0.5336,0.0034,0.0045,0.01038
10640,0.53193,0.00314,0.00406,0.0335
10780,0.53554,0.0036,0.00503,0.02294
10920,0.53547,0.0036,0.00501,0.01166
11060,0.54201,0.00465,0.00702,0.07538
11200,0.54192,0.00469,0.00699,0.01038
11340,0.54066,0.00448,0.00658,0.00871
11480,0.54679,0.0055,0.00869,0.01484
11620,0.54816,0.00578,0.00919,0.03227
11760,0.54823,0.00574,0.00921,0.00856
11900,0.54337,0.00498,0.00749,0.08153
12040,0.53657,0.00393,0.00533,0.02425
12180,0.54354,0.00505,0.00755,0.00838
12320,0.54342,0.00496,0.0075,0.00836
12460,0.5367,0.00389,0.00537,0.00856
12600,0.53982,0.00439,0.00632,0.00825
12740,0.54167,0.00463,0.00691,0.00853
12880,0.54126,0.0044,0.00676,0.01001
