iter,acc,nmi,ari,loss
0,0.56735,0.0049,-0.00059,0
140,0.55823,0.00746,-0.00398,0.00264
280,0.54219,0.00513,-0.00679,0.00489
420,0.52862,0.00507,-0.0075,0.00989
560,0.51809,0.00506,-0.00709,0.03567
700,0.51259,0.00518,-0.00663,0.023
840,0.50929,0.00546,-0.00639,0.02766
980,0.50439,0.00533,-0.00559,0.05472
1120,0.5019,0.0049,-0.00489,0.03293
1260,0.50419,0.00534,-0.00398,0.05221
1400,0.50734,0.0051,-0.00314,0.03244
1540,0.50754,0.00397,-0.00238,0.03446
1680,0.50714,0.00315,-0.00191,0.05644
1820,0.50792,0.00318,-0.00177,0.05696
1960,0.50732,0.00324,-0.00193,0.03673
2100,0.50927,0.00305,-0.00139,0.0353
2240,0.50999,0.00236,-0.00077,0.04376
2380,0.51196,0.0031,-0.00084,0.04895
2520,0.51157,0.00271,-0.00068,0.04421
2660,0.51236,0.00291,-0.00063,0.03773
2800,0.51231,0.00266,-0.00049,0.03589
2940,0.51392,0.00276,-0.0002,0.02482
3080,0.51681,0.00287,0.00039,0.02362
3220,0.51476,0.00244,0.00016,0.02483
3360,0.51324,0.0022,-2e-05,0.02641
3500,0.51231,0.00194,-5e-05,0.0254
3640,0.50744,0.00066,-1e-05,0.11987
3780,0.50774,0.00053,0.0001,0.19561
3920,0.50604,0.00056,-0.0001,0.01959
4060,0.50492,0.00025,1e-05,0.02892
4200,0.50095,7e-05,-0.00014,0.01853
4340,0.51076,1e-05,0.0001,0.08456
4480,0.50999,1e-05,-0.00019,0.02204
4620,0.50625,5e-05,-0.00028,0.02465
4760,0.50564,0.0,-0.0,0.04236
4900,0.50504,1e-05,4e-05,0.03131
5040,0.50555,1e-05,5e-05,0.02055
5180,0.50319,0.0,-2e-05,0.02618
5320,0.5008,2e-05,-6e-05,0.03845
5460,0.50233,3e-05,-0.00012,0.01668
5600,0.5038,3e-05,-0.00014,0.02874
5740,0.50489,2e-05,-0.00014,0.01374
5880,0.50469,1e-05,-0.00011,0.01667
6020,0.50859,4e-05,0.00018,0.02812
6160,0.50927,6e-05,0.00024,0.02301
6300,0.50605,3e-05,9e-05,0.02472
6440,0.5076,4e-05,0.00016,0.03347
6580,0.50885,1e-05,9e-05,0.05453
6720,0.50734,0.0,4e-05,0.0169
6860,0.50967,4e-05,0.00022,0.01204
7000,0.51031,3e-05,0.00021,0.02644
7140,0.50949,2e-05,0.00016,0.02304
7280,0.50812,0.0,2e-05,0.0127
7420,0.50777,2e-05,0.00011,0.01306
7560,0.50981,3e-05,0.00019,0.0124
7700,0.50874,0.0,2e-05,0.01534
7840,0.51729,0.0002,0.00084,0.0108
7980,0.51386,0.0,8e-05,0.21024
8120,0.51758,4e-05,0.00042,0.04558
8260,0.51661,2e-05,0.00028,0.01297
8400,0.51389,3e-05,0.00027,0.01135
8540,0.51544,7e-05,0.0005,0.0226
8680,0.51294,5e-05,0.00035,0.04337
8820,0.51209,7e-05,0.00035,0.02045
8960,0.51016,2e-05,0.00016,0.02668
9100,0.50875,0.0,0.0,0.01173
9240,0.5083,0.0,-0.0001,0.01365
9380,0.50657,2e-05,-0.00017,0.01332
9520,0.506,5e-05,-0.00029,0.01218
9660,0.50632,5e-05,-0.00029,0.01666
9800,0.50887,1e-05,-0.00014,0.01151
9940,0.50775,2e-05,-0.0002,0.02015
10080,0.50842,3e-05,-0.00027,0.00994
10220,0.50003,0.00026,-0.00037,0.01696
10360,0.50183,0.0003,-0.00054,0.02605
10500,0.50474,0.00014,-0.00046,0.01182
10640,0.5045,0.00015,-0.00047,0.01132
10780,0.50245,0.00016,-0.00037,0.01167
10920,0.50058,0.00024,-0.00038,0.00968
11060,0.50012,0.00016,-0.00023,0.00826
11200,0.50063,0.00011,-0.00019,0.02088
11340,0.50302,1e-05,-7e-05,0.05492
11480,0.5025,0.0,-1e-05,0.04332
11620,0.50155,0.0,-3e-05,0.01045
11760,0.50272,0.0,-1e-05,0.00968
11900,0.50203,5e-05,-2e-05,0.00921
12040,0.50125,1e-05,-1e-05,0.0103
12180,0.50228,3e-05,0.0,0.05476
12320,0.50699,8e-05,0.00017,0.04957
12460,0.506,8e-05,0.00013,0.01004
12600,0.50652,5e-05,0.00013,0.01021
12740,0.50494,4e-05,7e-05,0.01657
12880,0.50592,5e-05,0.00011,0.02435
13020,0.50675,0.00011,0.00016,0.02099
13160,0.50504,2e-05,6e-05,0.00922
13300,0.5016,2e-05,-8e-05,0.01234
13440,0.50123,2e-05,-6e-05,0.04653
13580,0.50172,3e-05,-9e-05,0.01308
13720,0.50285,3e-05,-0.00013,0.01181
13860,0.50153,4e-05,-0.00011,0.00854
14000,0.50078,7e-05,-8e-05,0.00854
14140,0.50082,5e-05,-6e-05,0.01072
14280,0.5005,4e-05,-5e-05,0.00874
14420,0.50479,0.00012,7e-05,0.01513
14560,0.50815,8e-05,0.00022,0.10335
14700,0.50805,0.0001,0.00022,0.01053
14840,0.51094,0.00024,0.00045,0.03179
14980,0.51007,0.00041,0.00038,0.02228
15120,0.51086,0.0004,0.00045,0.00667
15260,0.50941,0.00035,0.00033,0.02727
15400,0.51086,0.00045,0.00045,0.04254
15540,0.51201,0.00045,0.00056,0.03607
15680,0.51566,0.00088,0.00095,0.01609
15820,0.51562,0.00102,0.00093,0.00999
