iter,acc,nmi,ari,loss
0,0.56844,0.00197,-9e-05,0
140,0.56527,0.00269,-0.00131,0.00241
280,0.55636,0.00153,-0.00313,0.00419
420,0.54556,0.00143,-0.00426,0.00819
560,0.53962,0.00088,-0.00372,0.03223
700,0.53467,0.00088,-0.00373,0.0176
840,0.53037,0.00092,-0.00371,0.02774
980,0.52745,0.00072,-0.00321,0.04192
1120,0.52396,0.0007,-0.00299,0.03646
1260,0.51939,0.00113,-0.00349,0.04609
1400,0.51733,0.00106,-0.00321,0.0272
1540,0.51679,0.00095,-0.00298,0.02659
1680,0.51571,0.00105,-0.00305,0.04221
1820,0.51891,0.00056,-0.00237,0.04596
1960,0.52248,0.00015,-0.00127,0.03598
2100,0.51976,0.00028,-0.00167,0.03042
2240,0.52278,2e-05,-0.00051,0.04253
2380,0.52068,9e-05,-0.00092,0.03712
2520,0.5224,3e-05,-0.00055,0.03957
2660,0.51998,6e-05,-0.00076,0.04292
2800,0.51914,0.00013,-0.00109,0.04407
2940,0.51726,0.00016,-0.00113,0.02831
3080,0.51573,0.00011,-0.00085,0.03358
3220,0.51694,4e-05,-0.0005,0.01572
3360,0.51633,2e-05,-0.00041,0.02473
3500,0.51521,5e-05,-0.00054,0.02152
3640,0.51231,0.00012,-0.00076,0.04524
3780,0.51296,0.00011,-0.00076,0.01745
3920,0.51959,0.0,-4e-05,0.02019
4060,0.51933,0.0,8e-05,0.02174
4200,0.52026,1e-05,0.00018,0.0231
4340,0.52316,0.00019,0.00117,0.0245
4480,0.52555,0.00023,0.00143,0.01457
4620,0.52595,0.00028,0.00157,0.02156
4760,0.52611,0.00043,0.00188,0.01441
4900,0.53133,0.00057,0.00261,0.03255
5040,0.5315,0.00061,0.00269,0.02253
5180,0.53028,0.00061,0.00257,0.01807
5320,0.53248,0.0009,0.00323,0.08371
5460,0.53333,0.00117,0.00365,0.11961
5600,0.53105,0.00088,0.00302,0.01935
5740,0.53475,0.00181,0.00438,0.07176
5880,0.53222,0.0015,0.00373,0.03828
6020,0.53405,0.00195,0.00432,0.0442
6160,0.53577,0.00227,0.00483,0.01937
6300,0.53569,0.00194,0.00464,0.08583
6440,0.5381,0.00189,0.00507,0.01255
6580,0.5388,0.00215,0.00539,0.02978
6720,0.53519,0.00148,0.00422,0.03835
6860,0.53692,0.00185,0.00482,0.02285
7000,0.53272,0.00138,0.00374,0.02119
7140,0.53203,0.00143,0.00366,0.01799
7280,0.5335,0.00188,0.00418,0.01749
7420,0.53649,0.00246,0.00506,0.01772
7560,0.53717,0.00251,0.00523,0.03484
7700,0.53397,0.0021,0.00437,0.0129
7840,0.5344,0.00208,0.00445,0.03274
7980,0.53504,0.00205,0.00457,0.00963
8120,0.53298,0.00199,0.00413,0.04046
8260,0.53168,0.0018,0.00379,0.01323
8400,0.53148,0.00185,0.00377,0.01155
8540,0.53045,0.00176,0.00354,0.02864
8680,0.53337,0.00207,0.00423,0.01052
8820,0.53362,0.00197,0.00424,0.01052
8960,0.53392,0.00193,0.00429,0.01369
9100,0.53423,0.00211,0.00443,0.02038
9240,0.53378,0.0022,0.00437,0.01369
9380,0.53158,0.002,0.00384,0.01229
9520,0.53152,0.00201,0.00383,0.01124
9660,0.53218,0.00209,0.004,0.0144
9800,0.53237,0.00268,0.00415,0.1218
9940,0.53332,0.00261,0.00437,0.01406
10080,0.53343,0.00288,0.00443,0.01059
10220,0.53485,0.00317,0.00482,0.01234
10360,0.53444,0.00323,0.00472,0.01109
10500,0.53574,0.00337,0.00508,0.01083
10640,0.53542,0.00293,0.00494,0.19977
10780,0.53537,0.00268,0.00487,0.01179
10920,0.53564,0.00287,0.00498,0.02299
11060,0.5353,0.0025,0.0048,0.00981
11200,0.53482,0.00233,0.00464,0.02046
11340,0.5343,0.00207,0.00443,0.01562
11480,0.53395,0.00205,0.00435,0.03652
11620,0.53485,0.0022,0.0046,0.0426
11760,0.53519,0.00267,0.00482,0.03223
11900,0.53509,0.00253,0.00477,0.01957
12040,0.5355,0.00274,0.00492,0.02362
