iter,acc,nmi,ari,loss
0,0.71265,0.1786,0.18011,0
140,0.73162,0.18758,0.21434,0.00058
280,0.73798,0.18926,0.22641,0.00246
420,0.74043,0.18952,0.23115,0.00838
560,0.74155,0.1899,0.23332,0.02253
700,0.74236,0.19037,0.23491,0.03863
840,0.73969,0.18879,0.22973,0.03641
980,0.74016,0.18908,0.23063,0.03993
1120,0.74243,0.18981,0.23504,0.04037
1260,0.74343,0.19084,0.23699,0.03193
1400,0.74383,0.1909,0.23777,0.03121
1540,0.74034,0.18823,0.231,0.02864
1680,0.74073,0.18846,0.23174,0.03064
1820,0.73848,0.18716,0.2274,0.0277
1960,0.74266,0.18949,0.2355,0.02625
2100,0.74009,0.18709,0.23052,0.02312
2240,0.73776,0.18602,0.22603,0.03354
2380,0.73643,0.18393,0.2235,0.048
2520,0.73419,0.18148,0.21928,0.02375
2660,0.73463,0.18132,0.2201,0.01945
2800,0.74418,0.18532,0.23848,0.01832
2940,0.74145,0.1843,0.23316,0.01825
3080,0.74325,0.18387,0.23666,0.01908
3220,0.74408,0.18356,0.23829,0.03389
3360,0.74681,0.18384,0.24363,0.04195
3500,0.74837,0.18582,0.24669,0.01951
3640,0.74692,0.18514,0.24384,0.04571
3780,0.74748,0.18622,0.24496,0.01592
3920,0.74465,0.18564,0.2394,0.02517
4060,0.74516,0.18477,0.24041,0.02468
4200,0.74485,0.18422,0.23978,0.0144
4340,0.7455,0.1847,0.24106,0.04155
4480,0.74678,0.18475,0.24357,0.0358
4620,0.74877,0.1862,0.24748,0.03065
4760,0.75093,0.18743,0.25177,0.02108
4900,0.74873,0.18568,0.24741,0.02958
5040,0.75213,0.18702,0.2541,0.04747
5180,0.75125,0.18654,0.25236,0.01325
5320,0.75043,0.18632,0.25076,0.01863
5460,0.75065,0.18671,0.25119,0.04929
5600,0.75165,0.18747,0.25318,0.05616
5740,0.75138,0.18682,0.25263,0.0225
5880,0.75238,0.18713,0.25459,0.0441
6020,0.75077,0.18705,0.25143,0.01949
6160,0.75277,0.18761,0.25536,0.11585
6300,0.75402,0.18764,0.25773,0.05598
6440,0.75434,0.18745,0.25824,0.02405
6580,0.75397,0.18683,0.25749,0.01205
6720,0.75352,0.18676,0.25671,0.01613
6860,0.75375,0.18751,0.25723,0.01186
7000,0.75248,0.18609,0.25472,0.01764
7140,0.75399,0.18752,0.25766,0.01475
7280,0.7527,0.18705,0.2552,0.01091
7420,0.75103,0.1873,0.25196,0.0852
7560,0.75068,0.18723,0.25127,0.00826
7700,0.75285,0.18825,0.25555,0.01402
7840,0.75222,0.18845,0.25432,0.02273
7980,0.75262,0.18858,0.25511,0.01577
8120,0.75258,0.18809,0.25503,0.01046
8260,0.754,0.1872,0.25763,0.14377
8400,0.75342,0.18712,0.25656,0.01481
8540,0.75327,0.18687,0.25626,0.01357
8680,0.75387,0.18847,0.25753,0.1012
8820,0.75419,0.1871,0.2579,0.02169
8960,0.75377,0.18648,0.25707,0.00953
9100,0.7538,0.18661,0.25716,0.00973
9240,0.75454,0.18788,0.25868,0.01724
9380,0.75537,0.1896,0.26045,0.00968
9520,0.75542,0.19025,0.26063,0.01845
9660,0.7552,0.18977,0.26017,0.01465
9800,0.75602,0.19086,0.26181,0.0097
9940,0.75579,0.19101,0.26139,0.0098
10080,0.7563,0.1912,0.26238,0.01454
10220,0.7566,0.19146,0.26295,0.00945
10360,0.75545,0.1892,0.26049,0.03409
10500,0.75584,0.19003,0.26134,0.00905
10640,0.7558,0.19048,0.26136,0.01276
10780,0.75512,0.18885,0.25987,0.01256
10920,0.75519,0.18914,0.26005,0.00882
11060,0.7558,0.19084,0.26141,0.00864
11200,0.75605,0.19122,0.26192,0.00918
11340,0.75605,0.19143,0.26194,0.00923
11480,0.75565,0.19101,0.26114,0.02142
11620,0.75594,0.19131,0.26171,0.01812
11760,0.75615,0.19177,0.26216,0.00821
11900,0.75654,0.19225,0.26293,0.03744
12040,0.75642,0.19112,0.26257,0.01936
12180,0.75669,0.1916,0.26313,0.01022
12320,0.75705,0.19211,0.26386,0.02599
12460,0.75702,0.19216,0.26381,0.01224
12600,0.75667,0.19158,0.26309,0.01031
12740,0.75717,0.19219,0.26408,0.00825
12880,0.75625,0.19039,0.26202,0.02978
13020,0.75617,0.19026,0.26183,0.00809
13160,0.75609,0.19012,0.26167,0.0142
13300,0.75664,0.19158,0.26304,0.00893
13440,0.75665,0.19219,0.26315,0.08203
13580,0.75575,0.19152,0.26137,0.00791
13720,0.75597,0.19114,0.26175,0.01293
13860,0.75529,0.18985,0.26033,0.00748
14000,0.75499,0.18961,0.25975,0.00779
14140,0.75484,0.1899,0.25949,0.00775
14280,0.75472,0.18828,0.25908,0.00965
14420,0.75442,0.18767,0.25844,0.02255
14560,0.75399,0.18668,0.25741,0.03333
14700,0.75424,0.18711,0.25795,0.00753
14840,0.75415,0.18695,0.25774,0.01253
14980,0.75293,0.18498,0.2552,0.00764
15120,0.75293,0.18499,0.25519,0.0072
15260,0.7551,0.18886,0.25985,0.02568
15400,0.75519,0.18904,0.26003,0.00696
15540,0.75509,0.18897,0.25984,0.01096
15680,0.75494,0.1884,0.25946,0.00849
15820,0.75589,0.18986,0.26136,0.01121
15960,0.75572,0.18961,0.26103,0.01007
16100,0.75617,0.19043,0.26198,0.01206
16240,0.75625,0.19056,0.26216,0.00809
16380,0.7556,0.18942,0.26079,0.01072
16520,0.7554,0.18904,0.26035,0.00765
16660,0.75609,0.19046,0.26186,0.00734
16800,0.7555,0.18928,0.2606,0.00727
16940,0.75487,0.18813,0.25915,0.01783
17080,0.75414,0.18702,0.25758,0.01092
17220,0.75484,0.18819,0.259,0.01113
17360,0.75494,0.18832,0.25923,0.00801
17500,0.75445,0.18754,0.25823,0.02457
17640,0.75414,0.18707,0.25756,0.00726
17780,0.75377,0.18663,0.25675,0.03314
17920,0.75392,0.18674,0.25711,0.00683
18060,0.75367,0.18629,0.25661,0.00796
18200,0.75555,0.18924,0.26059,0.05084
18340,0.75562,0.18935,0.26073,0.01428
18480,0.75549,0.18913,0.26046,0.00716
18620,0.75582,0.18968,0.26114,0.01104
18760,0.75572,0.18951,0.26095,0.00675
18900,0.75554,0.18921,0.26057,0.00674
19040,0.75565,0.1894,0.26081,0.00859
19180,0.75594,0.1899,0.26144,0.00629
19320,0.75585,0.18974,0.26124,0.01305
19460,0.75615,0.19028,0.26189,0.00647
19600,0.75587,0.18982,0.26131,0.02438
19740,0.75575,0.18963,0.26108,0.0088
19880,0.75535,0.18898,0.26026,0.00637
