iter,acc,nmi,ari,loss
0,0.54756,0.00351,-0.00548,0
140,0.54873,0.00043,-0.00252,0.0039
280,0.54627,0.00014,-0.00157,0.01615
420,0.54384,3e-05,-0.00081,0.02104
560,0.54217,3e-05,-0.00077,0.01325
700,0.53732,0.00014,-0.00162,0.00597
840,0.53702,9e-05,-0.00131,0.03797
980,0.53707,5e-05,-0.00101,0.02077
1120,0.53363,0.0001,-0.00132,0.04195
1260,0.53435,0.00011,-0.00138,0.02762
1400,0.5337,0.00013,-0.00149,0.05033
1540,0.5344,0.00022,-0.00197,0.06312
1680,0.53125,0.00044,-0.00264,0.01756
1820,0.5298,0.00048,-0.00269,0.01553
1960,0.53077,0.00037,-0.0024,0.03362
2100,0.52938,0.00048,-0.00268,0.01599
2240,0.52646,0.00065,-0.00301,0.0367
2380,0.5263,0.00056,-0.00278,0.01835
2520,0.52705,0.00046,-0.00256,0.01148
2660,0.52645,0.00048,-0.00257,0.033
2800,0.52725,0.00035,-0.00224,0.01638
2940,0.52676,0.00032,-0.00212,0.02285
3080,0.52506,0.0004,-0.00231,0.01539
3220,0.52758,0.00032,-0.00214,0.03512
3360,0.52428,0.00046,-0.00243,0.01687
3500,0.52283,0.00057,-0.00262,0.00794
3640,0.5235,0.00055,-0.00262,0.01667
3780,0.5247,0.0005,-0.00254,0.01241
3920,0.52233,0.00067,-0.00283,0.01531
4060,0.52113,0.0008,-0.00301,0.00825
4200,0.52079,0.00081,-0.00303,0.01724
4340,0.52061,0.00078,-0.00296,0.01991
4480,0.52108,0.00061,-0.00261,0.11352
4620,0.52113,0.00057,-0.00253,0.00383
4760,0.52034,0.00062,-0.00259,0.03861
4900,0.51951,0.00067,-0.00265,0.01792
5040,0.51951,0.00065,-0.00261,0.01747
5180,0.51819,0.00078,-0.00278,0.01563
5320,0.51763,0.00072,-0.00262,0.00657
5460,0.51761,0.00066,-0.00248,0.00861
5600,0.51836,0.00066,-0.00254,0.05359
5740,0.51739,0.00078,-0.00272,0.00557
5880,0.51723,0.00086,-0.00285,0.01063
6020,0.51804,0.00149,-0.00392,0.01958
6160,0.51708,0.00154,-0.0039,0.01064
6300,0.51671,0.0015,-0.00381,0.01121
6440,0.51676,0.00144,-0.00373,0.02229
6580,0.51724,0.00139,-0.00371,0.06713
6720,0.51698,0.00137,-0.00366,0.012
6860,0.51651,0.00129,-0.0035,0.01041
7000,0.51636,0.00129,-0.00349,0.00656
7140,0.51664,0.00115,-0.00329,0.00732
7280,0.51649,0.00111,-0.00322,0.02203
7420,0.51659,0.00114,-0.00327,0.00797
7560,0.51694,0.00115,-0.00332,0.05977
7700,0.51764,0.00113,-0.00335,0.01583
7840,0.51681,0.00108,-0.0032,0.01332
7980,0.51709,0.00098,-0.00305,0.01117
8120,0.51686,0.00042,-0.00188,0.01882
8260,0.51699,0.00043,-0.00191,0.0174
8400,0.51681,0.00044,-0.00193,0.01363
8540,0.51686,0.00042,-0.00188,0.00974
8680,0.51709,0.00038,-0.0018,0.00668
8820,0.51726,0.00036,-0.00177,0.01289
8960,0.51694,0.00034,-0.00169,0.02521
9100,0.51659,0.00032,-0.0016,0.01256
9240,0.51643,0.00031,-0.00156,0.02663
9380,0.51542,0.00029,-0.00147,0.01026
9520,0.51516,0.0003,-0.00145,0.00988
9660,0.51542,0.00032,-0.00153,0.02051
9800,0.51531,0.00031,-0.00149,0.02485
9940,0.51522,0.0003,-0.00147,0.01701
10080,0.51446,0.00032,-0.00148,0.00944
10220,0.51397,0.00027,-0.00131,0.01249
10360,0.51176,0.00026,-0.00116,0.06375
10500,0.51079,0.0003,-0.00118,0.01076
10640,0.51027,0.00031,-0.00118,0.00708
10780,0.50992,0.00033,-0.0012,0.01811
10920,0.50967,0.0004,-0.00133,0.02719
11060,0.50937,0.00039,-0.0013,0.01705
11200,0.50899,0.00035,-0.00118,0.01911
11340,0.50847,0.00042,-0.00128,0.01666
11480,0.50877,0.00033,-0.00113,0.01068
11620,0.50849,0.00035,-0.00113,0.00836
11760,0.50939,0.00035,-0.00121,0.01832
11900,0.50954,0.00041,-0.00134,0.0111
12040,0.50962,0.00042,-0.00137,0.01087
12180,0.50991,0.00041,-0.00137,0.01126
12320,0.51041,0.00038,-0.00136,0.00892
12460,0.50994,0.00035,-0.00125,0.0053
12600,0.50924,0.00034,-0.00118,0.01346
12740,0.50829,0.00034,-0.0011,0.04609
12880,0.50804,0.00034,-0.00109,0.02637
13020,0.50824,0.0003,-0.00101,0.01453
13160,0.5081,0.00034,-0.00109,0.00392
13300,0.50839,0.00034,-0.00111,0.00448
13440,0.50864,0.00039,-0.00124,0.01459
13580,0.50812,0.00035,-0.00111,0.0221
13720,0.50817,0.00035,-0.00111,0.01188
13860,0.50794,0.00038,-0.00115,0.02786
14000,0.50784,0.00035,-0.00109,0.00899
14140,0.50725,0.00037,-0.00109,0.01243
14280,0.50674,0.00039,-0.00108,0.01194
14420,0.50702,0.00038,-0.00109,0.00811
14560,0.50976,0.00013,-0.00068,0.05851
14700,0.51012,0.0001,-0.00061,0.0075
14840,0.51027,0.00013,-0.00071,0.01306
14980,0.51029,0.00014,-0.00074,0.01573
15120,0.51074,0.00011,-0.00065,0.02023
15260,0.51067,0.00011,-0.00067,0.02272
15400,0.51046,0.00013,-0.0007,0.01003
15540,0.50986,0.00015,-0.00074,0.01183
15680,0.50959,0.00014,-0.0007,0.02336
15820,0.50976,0.00013,-0.00068,0.01459
15960,0.50925,0.00011,-0.0006,0.00698
16100,0.50941,0.00011,-0.00059,0.07103
16240,0.50905,0.00013,-0.00063,0.01033
16380,0.50902,0.00013,-0.00063,0.004
16520,0.50946,0.00015,-0.00072,0.00813
16660,0.5088,0.00013,-0.00063,0.06453
16800,0.50835,0.00012,-0.00059,0.01135
16940,0.50814,0.00012,-0.00058,0.00998
17080,0.5081,0.00013,-0.00059,0.00848
