iter,acc,nmi,ari,loss
0,0.57286,0.00386,0.00946,0
140,0.56108,0.00163,0.00685,0.02388
280,0.55576,0.0012,0.00581,0.05572
420,0.5538,0.00102,0.00529,0.05014
560,0.55098,0.00067,0.00417,0.04651
700,0.55004,0.00048,0.00346,0.06481
840,0.55213,0.00074,0.00442,0.02525
980,0.55335,0.00085,0.00478,0.04941
1120,0.55571,0.00112,0.00558,0.05325
1260,0.55496,0.00093,0.00504,0.09144
1400,0.55696,0.00133,0.00616,0.05521
1540,0.55656,0.00118,0.00576,0.06437
1680,0.55658,0.00112,0.00559,0.05103
1820,0.5573,0.00123,0.00589,0.05906
1960,0.55788,0.00134,0.00619,0.0357
2100,0.55933,0.00167,0.00705,0.08708
2240,0.5583,0.00146,0.00651,0.0644
2380,0.55906,0.00181,0.0074,0.06048
2520,0.55881,0.00188,0.00758,0.03768
2660,0.55695,0.00146,0.00653,0.0371
2800,0.55431,0.00092,0.00498,0.0907
2940,0.55658,0.00108,0.00545,0.09751
3080,0.55501,0.00093,0.00504,0.05939
3220,0.5537,0.00086,0.0048,0.03277
3360,0.55348,0.00093,0.00501,0.0449
3500,0.55204,0.0008,0.00461,0.06709
3640,0.55335,0.00094,0.00506,0.05478
3780,0.55405,0.00102,0.0053,0.04228
3920,0.55371,0.00105,0.00538,0.06986
4060,0.55288,0.001,0.00521,0.07546
4200,0.55001,0.00079,0.00451,0.05192
4340,0.54991,0.00087,0.00474,0.05553
4480,0.55146,0.00096,0.00507,0.07495
4620,0.55326,0.00112,0.00556,0.04384
4760,0.55378,0.00115,0.00565,0.07196
4900,0.55456,0.0013,0.00608,0.03471
5040,0.55218,0.00111,0.0055,0.03408
5180,0.5547,0.00155,0.0067,0.02259
5320,0.55616,0.00188,0.00752,0.06647
5460,0.55723,0.00218,0.00819,0.06296
5600,0.55826,0.00243,0.00877,0.06241
5740,0.55698,0.00223,0.00828,0.04047
5880,0.55813,0.0027,0.00925,0.06399
6020,0.55795,0.00275,0.00933,0.06573
6160,0.55735,0.00241,0.00866,0.03788
6300,0.55866,0.00275,0.00939,0.04035
6440,0.55741,0.00246,0.00876,0.06749
6580,0.5586,0.00288,0.00961,0.06435
6720,0.5593,0.00292,0.00974,0.04779
6860,0.55988,0.00322,0.0103,0.06897
7000,0.55895,0.00315,0.0101,0.03651
7140,0.56078,0.00349,0.01084,0.07064
7280,0.56118,0.00381,0.01137,0.04456
7420,0.5636,0.00461,0.01284,0.08073
7560,0.56283,0.00448,0.01255,0.06794
7700,0.5616,0.00404,0.01176,0.06648
7840,0.56337,0.00458,0.01277,0.05173
7980,0.56412,0.00474,0.0131,0.05956
8120,0.56522,0.00514,0.01379,0.06316
8260,0.56387,0.00485,0.0132,0.07925
8400,0.56574,0.00553,0.01436,0.03947
8540,0.5699,0.00701,0.01687,0.06566
8680,0.56899,0.00632,0.01591,0.03283
8820,0.57292,0.0076,0.01816,0.06783
8960,0.57467,0.00848,0.0195,0.05201
9100,0.57592,0.00873,0.02004,0.11211
9240,0.57574,0.00871,0.01998,0.05804
9380,0.57451,0.00824,0.0192,0.04667
9520,0.57356,0.00764,0.01832,0.06878
9660,0.57344,0.00772,0.0184,0.04141
9800,0.57207,0.00702,0.01731,0.08604
9940,0.57342,0.0077,0.01837,0.03107
10080,0.57577,0.00864,0.0199,0.06153
10220,0.57357,0.00808,0.01882,0.05227
10360,0.57267,0.00854,0.01902,0.02263
10500,0.57449,0.00921,0.02012,0.08688
10640,0.57437,0.00929,0.02015,0.04252
10780,0.57461,0.0094,0.02031,0.06188
10920,0.57519,0.0096,0.02065,0.10965
11060,0.57574,0.00939,0.02065,0.07782
11200,0.57607,0.00969,0.021,0.03924
11340,0.57742,0.00983,0.02151,0.06855
11480,0.57696,0.0098,0.02135,0.05457
11620,0.57911,0.01063,0.02272,0.06385
11760,0.57762,0.00977,0.02152,0.06391
11900,0.57621,0.00903,0.02043,0.03004
12040,0.57719,0.00938,0.02101,0.06132
12180,0.57732,0.00935,0.02101,0.03901
12320,0.57634,0.00878,0.02018,0.08888
12460,0.57661,0.00866,0.02009,0.06822
12600,0.57682,0.00851,0.01993,0.05732
12740,0.57599,0.0079,0.01899,0.09543
12880,0.57517,0.00767,0.01859,0.08035
13020,0.57416,0.0076,0.01836,0.03387
13160,0.57594,0.00815,0.01934,0.08918
13300,0.57494,0.00804,0.01905,0.03603
13440,0.57541,0.00836,0.01952,0.04989
13580,0.57724,0.00904,0.02066,0.04914
13720,0.57716,0.00908,0.02069,0.02104
13860,0.57732,0.00924,0.0209,0.0351
14000,0.57829,0.0096,0.0215,0.03788
14140,0.58298,0.01147,0.02454,0.06115
14280,0.58201,0.01084,0.02364,0.06
14420,0.58193,0.01113,0.02395,0.08192
14560,0.58386,0.01183,0.02512,0.03384
14700,0.58438,0.01176,0.02513,0.03485
14840,0.58413,0.01211,0.02548,0.08291
14980,0.5845,0.01225,0.02571,0.05438
15120,0.58311,0.0116,0.02471,0.02581
15260,0.58201,0.01149,0.02432,0.05478
15400,0.57976,0.0108,0.02306,0.05724
15540,0.58061,0.01152,0.02392,0.03554
15680,0.58136,0.01144,0.02409,0.08654
15820,0.58269,0.01168,0.02469,0.02784
15960,0.58379,0.01236,0.02563,0.05988
16100,0.58593,0.01339,0.02719,0.03429
16240,0.587,0.01384,0.02791,0.05206
16380,0.5882,0.01477,0.02907,0.04334
16520,0.59065,0.01614,0.031,0.05608
16660,0.59075,0.01616,0.03105,0.06729
16800,0.58985,0.01646,0.03084,0.03562
16940,0.5886,0.01577,0.02989,0.05053
17080,0.58943,0.0163,0.03056,0.01742
17220,0.58963,0.01595,0.03045,0.03812
17360,0.5898,0.01556,0.03025,0.04736
17500,0.58813,0.01491,0.02915,0.01605
17640,0.58846,0.01495,0.0293,0.01795
