iter,acc,nmi,ari,loss
0,0.68401,0.10131,0.13543,0
140,0.68286,0.10059,0.13374,0.00055
280,0.68198,0.09985,0.13245,0.00208
420,0.68286,0.1012,0.13374,0.00697
560,0.68458,0.10292,0.13627,0.0251
700,0.6844,0.10371,0.136,0.03479
840,0.68423,0.10398,0.13575,0.03763
980,0.6839,0.10369,0.13526,0.03609
1120,0.68428,0.10315,0.13582,0.03254
1260,0.6857,0.10414,0.13792,0.03086
1400,0.68605,0.10475,0.13844,0.03299
1540,0.68503,0.10411,0.13693,0.03331
1680,0.68687,0.10541,0.13966,0.03494
1820,0.68563,0.10483,0.13782,0.03106
1960,0.68602,0.10527,0.13839,0.02598
2100,0.68667,0.1055,0.13936,0.02785
2240,0.6874,0.10632,0.14046,0.0274
2380,0.68745,0.10617,0.14053,0.02167
2520,0.6843,0.10434,0.13585,0.02352
2660,0.6828,0.10352,0.13364,0.02072
2800,0.68073,0.10191,0.13062,0.02322
2940,0.67963,0.10163,0.12903,0.02239
3080,0.68218,0.10341,0.13273,0.01852
3220,0.68223,0.1031,0.13281,0.01742
3360,0.68635,0.10492,0.13889,0.02855
3500,0.68563,0.10469,0.13782,0.01632
3640,0.68573,0.10472,0.13797,0.01736
3780,0.68635,0.10545,0.13889,0.01833
3920,0.68612,0.10511,0.13854,0.01571
4060,0.68652,0.10488,0.13914,0.01547
4200,0.68578,0.10381,0.13804,0.02402
4340,0.68612,0.10362,0.13854,0.01606
4480,0.68757,0.10437,0.14069,0.01416
4620,0.6894,0.10559,0.14345,0.01598
4760,0.68995,0.10394,0.14422,0.01714
4900,0.69169,0.10547,0.14684,0.01364
5040,0.69209,0.10603,0.14746,0.01624
5180,0.6889,0.10366,0.14266,0.05327
5320,0.68865,0.10355,0.14228,0.0122
5460,0.68923,0.10386,0.14315,0.01478
5600,0.68767,0.10173,0.14078,0.04047
5740,0.68782,0.10221,0.14102,0.02156
5880,0.68675,0.10187,0.13944,0.01288
6020,0.68577,0.10108,0.13798,0.01184
6160,0.68545,0.10105,0.13752,0.01362
6300,0.67983,0.09826,0.12934,0.04857
6440,0.68056,0.09973,0.1304,0.01151
6580,0.68088,0.10024,0.13085,0.01391
6720,0.67724,0.09833,0.12563,0.05972
6860,0.67733,0.09812,0.12575,0.01203
7000,0.67626,0.09798,0.12423,0.03311
7140,0.67509,0.09767,0.12257,0.02272
7280,0.67503,0.09792,0.12247,0.01456
7420,0.67359,0.09668,0.12047,0.01114
7560,0.67136,0.09403,0.11739,0.08722
7700,0.67126,0.09433,0.11724,0.0091
7840,0.66977,0.09378,0.11519,0.01087
7980,0.67071,0.09428,0.11648,0.02477
8120,0.66951,0.09337,0.11483,0.01671
8260,0.67054,0.09425,0.11624,0.01529
8400,0.67089,0.09446,0.11673,0.01132
8540,0.67676,0.09805,0.12494,0.0391
8680,0.67764,0.09888,0.1262,0.01123
8820,0.67895,0.09982,0.12806,0.00945
8960,0.67813,0.0991,0.12689,0.01002
9100,0.67976,0.09904,0.12924,0.01012
9240,0.67831,0.09883,0.12715,0.11202
9380,0.67891,0.09951,0.12801,0.02863
9520,0.67895,0.0997,0.12806,0.01401
9660,0.6788,0.09949,0.12784,0.0096
9800,0.67981,0.09988,0.12931,0.01
9940,0.68073,0.10029,0.13064,0.01115
10080,0.68075,0.10013,0.13066,0.01575
10220,0.6818,0.10096,0.13219,0.01012
10360,0.68155,0.10107,0.13182,0.03363
10500,0.68075,0.10097,0.13066,0.00873
10640,0.67885,0.10009,0.12791,0.03236
10780,0.67885,0.10014,0.12791,0.00974
10920,0.6787,0.09986,0.1277,0.01019
11060,0.67886,0.0996,0.12794,0.02924
11200,0.67965,0.10042,0.12906,0.00934
11340,0.67923,0.1008,0.12846,0.00897
11480,0.67973,0.10112,0.12918,0.00889
11620,0.68218,0.10239,0.13274,0.10072
11760,0.68281,0.10265,0.13367,0.01551
11900,0.68241,0.10263,0.13308,0.02465
12040,0.68201,0.10224,0.1325,0.00964
12180,0.67973,0.10059,0.12918,0.00839
12320,0.67741,0.09917,0.12586,0.00799
12460,0.6795,0.10034,0.12885,0.00791
12600,0.67928,0.10093,0.12853,0.00845
12740,0.67754,0.10002,0.12604,0.00853
12880,0.67808,0.1003,0.1268,0.00915
13020,0.67861,0.10037,0.12757,0.00788
13160,0.67815,0.10013,0.1269,0.01934
13300,0.68131,0.1024,0.13147,0.00956
13440,0.68361,0.10362,0.13484,0.00849
13580,0.68592,0.10514,0.13824,0.01596
13720,0.68772,0.10606,0.14093,0.00792
13860,0.68733,0.1057,0.14036,0.01061
14000,0.68772,0.10597,0.14093,0.01099
14140,0.68992,0.1075,0.14425,0.03181
14280,0.69204,0.10879,0.14747,0.02739
14420,0.69285,0.11003,0.14873,0.00843
14560,0.69352,0.11051,0.14976,0.04329
14700,0.69197,0.1095,0.14738,0.02167
14840,0.69227,0.11028,0.14784,0.01263
14980,0.69469,0.11172,0.15157,0.01403
15120,0.69435,0.11136,0.15105,0.0078
15260,0.69167,0.10997,0.14693,0.07523
15400,0.69464,0.11177,0.15149,0.01378
15540,0.69564,0.11263,0.15304,0.00722
15680,0.69557,0.11245,0.15294,0.01154
15820,0.6965,0.11335,0.1544,0.00697
15960,0.69696,0.1138,0.1551,0.0102
16100,0.69687,0.11379,0.15498,0.00705
16240,0.69814,0.11447,0.15696,0.00697
16380,0.69821,0.11464,0.15706,0.01232
16520,0.69811,0.11454,0.15691,0.007
16660,0.69839,0.11482,0.15735,0.00714
16800,0.69824,0.11461,0.15712,0.00729
16940,0.69649,0.11265,0.15435,0.00759
17080,0.69614,0.11255,0.15381,0.00781
17220,0.69696,0.11319,0.15509,0.00998
17360,0.69704,0.11291,0.15521,0.00863
17500,0.69782,0.11323,0.15643,0.01236
17640,0.69831,0.1139,0.1572,0.01155
17780,0.69737,0.11348,0.15574,0.00787
17920,0.69832,0.11409,0.15723,0.01139
18060,0.69872,0.11415,0.15785,0.02083
18200,0.70134,0.11644,0.162,0.01061
18340,0.70097,0.11614,0.16142,0.00658
18480,0.70037,0.11584,0.16047,0.01958
18620,0.69809,0.1143,0.15687,0.00716
18760,0.69694,0.11306,0.15506,0.00734
18900,0.69767,0.11317,0.15619,0.00975
19040,0.69679,0.11255,0.15481,0.00656
19180,0.6961,0.11181,0.15374,0.00649
19320,0.69709,0.11249,0.15527,0.01019
19460,0.69609,0.11184,0.15372,0.00668
19600,0.69645,0.11227,0.15429,0.00727
19740,0.696,0.1119,0.15359,0.00642
19880,0.69305,0.11031,0.14904,0.00637
