epoch,loss
0,0.19718677292764186
1,0.04616579659283161
2,0.030063192270696162
3,0.014632525481283664
4,0.0072275510304607455
5,0.0046016298127360645
6,0.001752639987040311
7,0.0005886438818415627
8,0.00016251209840993398
9,3.9524768420960756e-05
10,2.3146797284425703e-05
11,1.3774203132925322e-05
12,7.927218068289221e-06
13,4.842090162128443e-06
14,3.3635875870459133e-06
15,2.4020129594646278e-06
16,1.7976582967094145e-06
17,1.3820458639202116e-06
18,1.1235988765747606e-06
19,9.113243637557389e-07
20,7.825284449154424e-07
21,6.697136135471737e-07
22,5.873478621651884e-07
23,5.164817571312597e-07
24,4.5999321258705094e-07
25,4.1620264005359784e-07
26,3.752709330910875e-07
27,3.4921756036965237e-07
28,3.2218228398050995e-07
29,3.011820158462797e-07
30,2.846743223017256e-07
31,2.6792463495439735e-07
32,2.5299900693198654e-07
33,2.409752946732624e-07
34,2.3069569965628034e-07
35,2.2201004878752428e-07
36,2.1289571304805577e-07
37,2.065559602897338e-07
38,1.990483646636676e-07
39,1.9279828040907886e-07
40,1.8777931427393925e-07
41,1.8284939596924233e-07
42,1.777357377932276e-07
43,1.7379916056370348e-07
44,1.7031676384249295e-07
45,1.6667536277736871e-07
46,1.6299139929287776e-07
47,1.6109731450342223e-07
48,1.5814327201724154e-07
49,1.555353982212182e-07
50,1.5369676924592568e-07
51,1.516908708936171e-07
52,1.49284272197292e-07
53,1.4750556113085623e-07
54,1.4579869969111315e-07
55,1.441956870849026e-07
56,1.4286159682797006e-07
57,1.4150576811289284e-07
58,1.4024843153492839e-07
59,1.3875709339572495e-07
60,1.379681710886871e-07
61,1.3675086006514904e-07
62,1.355001814431489e-07
63,1.3436803595823222e-07
64,1.3351021573271282e-07
65,1.3277789588528322e-07
66,1.3188216109938366e-07
67,1.3100961848522274e-07
68,1.300908223811348e-07
69,1.2929688313079168e-07
70,1.2890085270100827e-07
71,1.2808480641979258e-07
72,1.2751465442306654e-07
73,1.2686643401593757e-07
74,1.2630941398583672e-07
75,1.2573164622153855e-07
76,1.253459972758719e-07
77,1.2477873508487392e-07
78,1.2446508895891385e-07
79,1.2396121258007043e-07
80,1.2344999618107976e-07
81,1.2324195029123075e-07
82,1.228061105962297e-07
83,1.22074662670002e-07
84,1.2187930099116784e-07
85,1.2150564077728632e-07
86,1.2118887832457405e-07
87,1.210210252224897e-07
88,1.205968459316864e-07
89,1.2029070160224363e-07
90,1.1983268893800415e-07
91,1.1952696127082163e-07
92,1.1923655540613255e-07
93,1.1910216665000916e-07
94,1.1883563729497836e-07
95,1.1860165500365837e-07
96,1.1837943350201385e-07
97,1.1817500205779652e-07
98,1.1782721514919104e-07
99,1.1773217596555697e-07
