iter,acc,nmi,ari,loss
0,0.67553,0.1261,0.12226,0
140,0.67734,0.12683,0.1249,0.03164
280,0.68206,0.12888,0.13185,0.01806
420,0.68463,0.12859,0.13575,0.03365
560,0.6858,0.12889,0.13753,0.01637
700,0.68988,0.1305,0.14379,0.02015
840,0.69235,0.13094,0.14765,0.01936
980,0.69332,0.13218,0.14915,0.01382
1120,0.70436,0.13771,0.16693,0.0434
1260,0.70556,0.1384,0.16892,0.02096
1400,0.70701,0.13879,0.17134,0.01378
1540,0.70609,0.13838,0.16981,0.02355
1680,0.70531,0.13629,0.16853,0.0166
1820,0.70533,0.13536,0.16857,0.01643
1960,0.70368,0.13248,0.16588,0.0191
2100,0.70504,0.1331,0.16813,0.0349
2240,0.70618,0.13392,0.17,0.025
2380,0.70889,0.13585,0.17453,0.085
2520,0.70731,0.13399,0.17189,0.02607
2660,0.70831,0.13464,0.17356,0.01043
2800,0.71108,0.13725,0.1782,0.01719
2940,0.71151,0.13508,0.17893,0.01414
3080,0.71156,0.13546,0.17902,0.01937
3220,0.71188,0.13636,0.17956,0.01102
3360,0.71421,0.13821,0.18353,0.03322
3500,0.7141,0.13847,0.18333,0.0153
3640,0.7154,0.14033,0.18557,0.00859
3780,0.71623,0.14109,0.187,0.01553
3920,0.71623,0.14092,0.187,0.01091
4060,0.716,0.14113,0.1866,0.01885
4200,0.71536,0.14063,0.18551,0.0109
4340,0.7138,0.14017,0.18282,0.04501
4480,0.71346,0.13979,0.18225,0.00773
4620,0.71456,0.13966,0.18413,0.01484
4760,0.71545,0.14069,0.18565,0.01294
4900,0.71228,0.13851,0.18024,0.00949
5040,0.71265,0.13837,0.18086,0.00983
5180,0.71366,0.13939,0.18259,0.00794
5320,0.71373,0.1394,0.18271,0.00925
5460,0.71478,0.14019,0.18451,0.00755
5600,0.71575,0.14054,0.18617,0.00781
5740,0.71491,0.13977,0.18473,0.03221
5880,0.71298,0.13845,0.18143,0.00829
6020,0.71211,0.13707,0.17995,0.02262
6160,0.71251,0.13789,0.18063,0.00958
6300,0.71233,0.13759,0.18032,0.00902
6440,0.7108,0.1364,0.17773,0.00774
6580,0.71123,0.1368,0.17846,0.01226
6720,0.70879,0.13467,0.17437,0.00994
6860,0.70719,0.13492,0.17169,0.00789
7000,0.70701,0.13409,0.17139,0.00786
7140,0.70873,0.13571,0.17425,0.00807
7280,0.70686,0.13482,0.17113,0.00833
7420,0.70849,0.13536,0.17386,0.02641
7560,0.71138,0.13648,0.17871,0.00709
7700,0.7107,0.13557,0.17756,0.02211
7840,0.71036,0.13517,0.177,0.00651
7980,0.71116,0.13563,0.17834,0.00903
8120,0.71195,0.13706,0.17967,0.00687
8260,0.71191,0.13598,0.17961,0.00688
8400,0.71285,0.13579,0.18119,0.02331
8540,0.71203,0.13579,0.17981,0.02565
8680,0.71028,0.1362,0.17685,0.00691
8820,0.7104,0.13532,0.17705,0.0106
8960,0.70656,0.13477,0.17063,0.00644
9100,0.70696,0.13375,0.17131,0.0072
9240,0.70609,0.13282,0.16987,0.00716
