iter,acc,nmi,ari,loss
0,0.69335,0.10775,0.14943,0
140,0.69197,0.10907,0.14737,0.00042
280,0.69003,0.10828,0.14443,0.00196
420,0.69175,0.11067,0.14706,0.00786
560,0.69304,0.11271,0.14904,0.02608
700,0.69335,0.11296,0.14953,0.03989
840,0.6953,0.11458,0.15255,0.03905
980,0.6949,0.11458,0.15193,0.03546
1120,0.69397,0.1146,0.15048,0.03626
1260,0.6937,0.11421,0.15007,0.03336
1400,0.69647,0.11552,0.15438,0.02725
1540,0.69332,0.11296,0.14947,0.02928
1680,0.69452,0.1144,0.15134,0.02774
1820,0.6959,0.11541,0.15349,0.02729
1960,0.69625,0.11518,0.15404,0.03252
2100,0.6935,0.11247,0.14975,0.03037
2240,0.69377,0.11278,0.15017,0.02481
2380,0.68885,0.10927,0.14264,0.02189
2520,0.68943,0.10964,0.14353,0.02114
2660,0.68678,0.10838,0.13953,0.03357
2800,0.68623,0.10842,0.1387,0.01882
2940,0.68845,0.10955,0.14204,0.02273
3080,0.69002,0.11063,0.14441,0.01965
3220,0.6895,0.11032,0.14363,0.01692
3360,0.68425,0.10693,0.13575,0.01657
3500,0.6863,0.10844,0.1388,0.01807
3640,0.68922,0.11183,0.14319,0.01986
3780,0.68788,0.11109,0.14116,0.01827
3920,0.68705,0.11066,0.13991,0.03293
4060,0.69042,0.11204,0.14502,0.06074
4200,0.69043,0.11235,0.14504,0.01736
4340,0.691,0.11226,0.14591,0.01681
4480,0.68848,0.11075,0.14208,0.04229
4620,0.68823,0.11162,0.14169,0.01398
4760,0.6884,0.11222,0.14194,0.0154
4900,0.68777,0.11217,0.14097,0.01452
5040,0.6862,0.11214,0.1386,0.0479
5180,0.68522,0.11157,0.13712,0.013
5320,0.68305,0.11012,0.1339,0.01332
5460,0.68133,0.1085,0.13139,0.01225
5600,0.68175,0.10827,0.13201,0.01334
5740,0.68525,0.11026,0.1372,0.02388
5880,0.68418,0.11003,0.1356,0.01229
6020,0.68355,0.10928,0.13467,0.01367
6160,0.6894,0.11235,0.14346,0.01314
6300,0.6914,0.11397,0.14652,0.01458
6440,0.68903,0.11179,0.14291,0.01739
6580,0.68942,0.11226,0.14349,0.02011
6720,0.6906,0.11308,0.14529,0.01258
6860,0.69052,0.11266,0.14517,0.01127
7000,0.69064,0.11275,0.14535,0.01476
7140,0.68972,0.11187,0.14395,0.01824
7280,0.68858,0.11019,0.14223,0.01812
7420,0.68993,0.11129,0.14428,0.01098
7560,0.68945,0.11101,0.14355,0.02784
7700,0.69245,0.1122,0.14814,0.03152
7840,0.69402,0.11345,0.15056,0.02513
7980,0.69364,0.11272,0.14996,0.03849
8120,0.69487,0.1134,0.15187,0.01302
8260,0.69335,0.1122,0.14952,0.01045
8400,0.6929,0.11172,0.14883,0.00997
8540,0.69129,0.11073,0.14635,0.01222
8680,0.69134,0.1107,0.14642,0.01121
8820,0.68957,0.10955,0.14373,0.01914
8960,0.68908,0.10962,0.143,0.00999
9100,0.68903,0.10961,0.14292,0.01002
9240,0.68692,0.10777,0.13973,0.00962
