iter,acc,nmi,ari,loss
0,0.68927,0.1053,0.14324,0
140,0.68718,0.10442,0.14013,0.00039
280,0.68482,0.10303,0.13661,0.00211
420,0.68662,0.10476,0.13929,0.00839
560,0.68517,0.10394,0.13713,0.02845
700,0.68478,0.10318,0.13656,0.04049
840,0.6858,0.10426,0.13807,0.04104
980,0.68695,0.10565,0.13979,0.04129
1120,0.6856,0.10521,0.13777,0.03406
1260,0.6856,0.10516,0.13777,0.03199
1400,0.686,0.10532,0.13837,0.03165
1540,0.68825,0.10728,0.14174,0.02732
1680,0.68682,0.1063,0.13959,0.02515
1820,0.69064,0.10974,0.14535,0.02329
1960,0.69172,0.1108,0.14701,0.02656
2100,0.69045,0.10987,0.14507,0.03213
2240,0.69179,0.11044,0.14711,0.02436
2380,0.6916,0.11043,0.14683,0.02262
2520,0.69205,0.11125,0.14752,0.02053
2660,0.69119,0.1107,0.14619,0.02332
2800,0.69107,0.11087,0.14601,0.02039
2940,0.68912,0.10947,0.14305,0.01872
3080,0.68967,0.11019,0.14388,0.02133
3220,0.69025,0.11084,0.14477,0.01881
3360,0.69232,0.11246,0.14793,0.01648
3500,0.69575,0.11556,0.15326,0.02063
3640,0.69452,0.11452,0.15134,0.01684
3780,0.69784,0.11519,0.15651,0.02326
3920,0.70019,0.11699,0.16022,0.01602
4060,0.69934,0.11643,0.15888,0.02018
4200,0.69721,0.11477,0.15551,0.02014
4340,0.69635,0.11432,0.15418,0.01772
4480,0.69942,0.11695,0.15902,0.01669
4620,0.69731,0.11562,0.15568,0.02099
4760,0.69796,0.11609,0.15671,0.01803
4900,0.69659,0.11501,0.15456,0.01949
5040,0.6964,0.11377,0.15425,0.01563
5180,0.6959,0.1131,0.15347,0.01329
5320,0.69615,0.11346,0.15386,0.014
5460,0.69207,0.11089,0.14754,0.0701
5600,0.69267,0.11131,0.14847,0.02111
5740,0.69279,0.11132,0.14864,0.014
5880,0.69172,0.10952,0.147,0.0191
6020,0.68842,0.10673,0.14199,0.01671
6160,0.68758,0.10654,0.14074,0.01232
6300,0.6875,0.10647,0.14061,0.01288
6440,0.68393,0.10349,0.13531,0.0119
6580,0.67998,0.10045,0.12955,0.01177
6720,0.6818,0.10201,0.13218,0.01258
6860,0.6814,0.10174,0.1316,0.01162
