iter,acc,nmi,ari,loss
0,0.68558,0.09598,0.13746,0
140,0.68235,0.09517,0.13288,0.00087
280,0.67828,0.09266,0.12708,0.00182
420,0.67781,0.0933,0.12643,0.00913
560,0.67865,0.09427,0.12762,0.02963
700,0.67926,0.09502,0.12851,0.03607
840,0.68046,0.09616,0.13023,0.03411
980,0.67761,0.09424,0.12616,0.03654
1120,0.67836,0.09454,0.12723,0.0329
1260,0.67816,0.09441,0.12694,0.03163
1400,0.67776,0.09465,0.12638,0.03368
1540,0.67651,0.09355,0.12461,0.02643
1680,0.67451,0.09226,0.1218,0.03216
1820,0.67694,0.09377,0.12522,0.028
1960,0.67433,0.09163,0.12154,0.02714
2100,0.67223,0.0907,0.11863,0.02505
2240,0.67313,0.09135,0.11987,0.02551
2380,0.67171,0.0909,0.11791,0.0216
2520,0.66926,0.08935,0.11456,0.02091
2660,0.66811,0.08798,0.11301,0.02016
2800,0.66866,0.08822,0.11375,0.02083
2940,0.66611,0.08731,0.11031,0.0295
3080,0.66621,0.08712,0.11045,0.02006
3220,0.66047,0.08402,0.10289,0.01734
3360,0.65974,0.08356,0.10194,0.04574
3500,0.65954,0.08346,0.10169,0.01723
3640,0.6586,0.08235,0.1005,0.02907
3780,0.65773,0.08114,0.09941,0.01991
3920,0.65937,0.08211,0.1015,0.02168
4060,0.66002,0.08223,0.10235,0.01633
4200,0.66147,0.08245,0.10424,0.01509
4340,0.66124,0.08261,0.10393,0.01573
4480,0.6603,0.0825,0.10271,0.01488
4620,0.66127,0.08288,0.10397,0.06227
4760,0.6625,0.08335,0.10558,0.0234
4900,0.66025,0.0818,0.10266,0.01421
5040,0.66342,0.08267,0.1068,0.03319
5180,0.66145,0.08184,0.10423,0.01223
5320,0.6615,0.08176,0.10429,0.01368
5460,0.66347,0.08194,0.10687,0.01379
5600,0.6601,0.08041,0.10249,0.01284
5740,0.64863,0.07437,0.08818,0.01596
5880,0.6517,0.07581,0.09192,0.0118
6020,0.65018,0.07418,0.09009,0.01354
6160,0.65086,0.07464,0.09092,0.05484
6300,0.6491,0.07407,0.08876,0.01242
6440,0.65185,0.07547,0.09212,0.01825
6580,0.65298,0.07609,0.09351,0.01179
6720,0.64148,0.06884,0.07982,0.02063
6860,0.64569,0.07074,0.08475,0.02353
7000,0.64661,0.07106,0.08584,0.02771
7140,0.6477,0.07162,0.08714,0.01111
7280,0.64676,0.07134,0.08602,0.03698
7420,0.64641,0.07114,0.0856,0.0128
7560,0.64659,0.07132,0.08582,0.01099
7700,0.64751,0.07198,0.0869,0.01303
7840,0.64775,0.07206,0.08718,0.01425
7980,0.6483,0.07244,0.08784,0.01732
8120,0.64728,0.07193,0.08662,0.01368
8260,0.64464,0.07036,0.08351,0.01496
8400,0.647,0.07153,0.08629,0.01636
8540,0.64698,0.07156,0.08627,0.01178
8680,0.65065,0.07277,0.0907,0.01128
8820,0.65196,0.07386,0.0923,0.0119
8960,0.6518,0.07365,0.0921,0.0102
9100,0.65136,0.07332,0.09157,0.0098
9240,0.65076,0.07309,0.09084,0.05387
9380,0.6493,0.07255,0.08906,0.00992
9520,0.64896,0.07263,0.08865,0.01107
9660,0.64916,0.07311,0.08888,0.01857
9800,0.64815,0.07254,0.08765,0.00908
9940,0.6495,0.07337,0.08928,0.02108
10080,0.64811,0.07213,0.08763,0.0089
10220,0.64785,0.07193,0.08731,0.00898
10360,0.64913,0.07268,0.08885,0.00886
10500,0.64955,0.07283,0.08935,0.00972
10640,0.64533,0.07211,0.08426,0.08299
10780,0.64511,0.07202,0.084,0.00905
10920,0.64521,0.07194,0.08413,0.0087
11060,0.64546,0.0718,0.08443,0.01262
11200,0.64441,0.07114,0.0832,0.00901
11340,0.64369,0.07076,0.08236,0.011
11480,0.64408,0.07127,0.0828,0.0085
11620,0.64238,0.07043,0.08081,0.00866
11760,0.64509,0.07109,0.08402,0.02135
11900,0.64483,0.07102,0.0837,0.00823
12040,0.64691,0.07214,0.08617,0.00831
12180,0.64499,0.07169,0.08388,0.02243
12320,0.65075,0.07459,0.09078,0.01154
12460,0.65135,0.07497,0.09151,0.00813
12600,0.65253,0.07589,0.09296,0.01287
12740,0.6491,0.07419,0.08876,0.01572
12880,0.64141,0.0694,0.07972,0.01367
