iter,acc,nmi,ari,loss
0,0.71466,0.12907,0.18289,0
140,0.73427,0.15601,0.21874,0.00668
280,0.74141,0.16686,0.23249,0.02373
420,0.74376,0.17127,0.23727,0.04117
560,0.7453,0.17389,0.24031,0.05276
700,0.74623,0.17524,0.24213,0.05224
840,0.74535,0.17684,0.24062,0.04645
980,0.74376,0.17727,0.23761,0.04392
1120,0.74091,0.17436,0.2321,0.03763
1260,0.73843,0.17446,0.22737,0.03409
1400,0.73873,0.17601,0.22795,0.04537
1540,0.73943,0.17466,0.22928,0.03276
1680,0.73826,0.17352,0.22705,0.03526
1820,0.73483,0.17206,0.22056,0.0376
1960,0.73609,0.17339,0.22295,0.0373
2100,0.73583,0.17334,0.22244,0.02818
2240,0.73739,0.17485,0.22541,0.02848
2380,0.73634,0.1744,0.22342,0.02887
2520,0.73703,0.17402,0.22471,0.02301
2660,0.73738,0.17419,0.22538,0.0345
2800,0.73661,0.17334,0.22392,0.02987
2940,0.73758,0.17343,0.22576,0.02617
3080,0.73811,0.17399,0.22677,0.02599
3220,0.73919,0.17438,0.22883,0.01958
3360,0.74026,0.17385,0.23086,0.04465
3500,0.73999,0.17414,0.23036,0.02451
3640,0.73786,0.17354,0.22629,0.0189
3780,0.73598,0.17336,0.22272,0.02832
3920,0.73474,0.17285,0.2204,0.0261
4060,0.73312,0.17217,0.21736,0.0252
4200,0.73151,0.17078,0.21435,0.02512
4340,0.73142,0.17118,0.21419,0.02381
4480,0.73226,0.17138,0.21574,0.02307
4620,0.73336,0.17161,0.2178,0.02283
4760,0.73411,0.17222,0.21921,0.02385
4900,0.73404,0.17189,0.21908,0.02211
5040,0.73392,0.17176,0.21887,0.02136
5180,0.73339,0.17134,0.21787,0.01803
5320,0.73377,0.1709,0.21859,0.01713
5460,0.73349,0.17118,0.21805,0.01893
5600,0.73381,0.17106,0.21865,0.01966
5740,0.73199,0.16948,0.21526,0.02631
5880,0.73274,0.17009,0.21665,0.01892
6020,0.73204,0.16971,0.21535,0.01868
6160,0.73174,0.16973,0.21479,0.01585
6300,0.73241,0.17099,0.21603,0.02103
6440,0.73234,0.17111,0.2159,0.01511
6580,0.73301,0.17195,0.21714,0.0212
6720,0.73226,0.17145,0.21574,0.01957
6860,0.73287,0.17169,0.2169,0.01604
7000,0.73212,0.16992,0.2155,0.0186
7140,0.73204,0.16982,0.21535,0.01745
7280,0.73242,0.16999,0.21606,0.01566
7420,0.73241,0.1703,0.21603,0.01348
7560,0.73307,0.17051,0.21728,0.01461
7700,0.73402,0.17076,0.21906,0.0149
7840,0.73381,0.17019,0.21865,0.01989
7980,0.73429,0.1703,0.21956,0.01882
8120,0.73417,0.17006,0.21934,0.02039
8260,0.73369,0.16964,0.21843,0.01915
8400,0.73189,0.16849,0.21508,0.02828
8540,0.73034,0.16798,0.2122,0.0215
8680,0.72826,0.1668,0.20836,0.01677
8820,0.72851,0.16746,0.20881,0.01659
8960,0.72694,0.16652,0.20594,0.02243
9100,0.72757,0.16691,0.2071,0.01367
9240,0.72832,0.16751,0.20847,0.01709
9380,0.72986,0.16833,0.2113,0.01274
9520,0.72946,0.16766,0.21056,0.01838
9660,0.72957,0.16718,0.21078,0.01516
9800,0.72937,0.16717,0.21041,0.01334
9940,0.72911,0.16719,0.20992,0.01675
10080,0.72909,0.16718,0.20989,0.01285
