iter,acc,nmi,ari,loss
0,0.73904,0.20847,0.22818,0
140,0.74563,0.21477,0.24104,0.04266
280,0.74656,0.21641,0.24288,0.02827
420,0.75347,0.2236,0.25678,0.03033
560,0.75894,0.22568,0.26808,0.02839
700,0.76119,0.22836,0.27278,0.02209
840,0.76551,0.23326,0.28191,0.03847
980,0.76541,0.23502,0.28168,0.02452
1120,0.75882,0.23214,0.26777,0.02287
1260,0.75253,0.22983,0.25478,0.02149
1400,0.75068,0.22855,0.25101,0.04634
1540,0.75655,0.23368,0.26302,0.02042
1680,0.76362,0.24026,0.27782,0.03206
1820,0.76879,0.24473,0.28889,0.02536
1960,0.76896,0.24473,0.28925,0.01961
2100,0.77968,0.25324,0.31287,0.01595
2240,0.77101,0.2456,0.29371,0.03192
2380,0.77114,0.2452,0.294,0.01323
2520,0.77348,0.24683,0.29911,0.02236
2660,0.7779,0.24968,0.30889,0.0106
2800,0.78322,0.25418,0.32084,0.03002
2940,0.78649,0.25741,0.32828,0.03318
3080,0.7905,0.26078,0.33753,0.00876
3220,0.78754,0.25768,0.33069,0.02446
3360,0.78745,0.25774,0.3305,0.0096
3500,0.78694,0.25687,0.32931,0.01937
3640,0.78669,0.2557,0.32873,0.00869
3780,0.78505,0.25247,0.32499,0.01105
3920,0.78328,0.25153,0.32099,0.00514
4060,0.78505,0.2499,0.32497,0.00384
4200,0.78542,0.25044,0.32581,0.01026
4340,0.78612,0.25067,0.3274,0.01377
4480,0.78602,0.25008,0.32716,0.00933
4620,0.78527,0.25028,0.32547,0.02986
4760,0.78675,0.24986,0.32881,0.00562
4900,0.7859,0.24895,0.32688,0.00458
5040,0.78042,0.24222,0.3145,0.00492
5180,0.77933,0.24035,0.31207,0.00513
5320,0.78152,0.23979,0.3169,0.01712
5460,0.78063,0.24149,0.31497,0.00989
5600,0.77693,0.23592,0.30673,0.02076
5740,0.77992,0.23352,0.31318,0.02584
5880,0.7812,0.23685,0.31612,0.00466
6020,0.78055,0.23458,0.3146,0.04413
6160,0.78252,0.23772,0.319,0.03262
6300,0.78273,0.23796,0.31948,0.01271
6440,0.78514,0.24279,0.32496,0.14639
6580,0.78525,0.24278,0.32521,0.01234
6720,0.78418,0.2424,0.32287,0.00808
6860,0.78322,0.24339,0.32076,0.00794
7000,0.78432,0.24341,0.3232,0.02855
7140,0.78382,0.2428,0.32208,0.01268
7280,0.78474,0.24435,0.32416,0.00678
7420,0.7832,0.243,0.32071,0.0273
7560,0.78545,0.24456,0.32575,0.02825
7700,0.78585,0.24462,0.32663,0.01844
7840,0.78515,0.24273,0.32499,0.00467
7980,0.78363,0.24232,0.32165,0.05611
8120,0.78512,0.24382,0.32498,0.0265
8260,0.78507,0.2437,0.32487,0.00391
8400,0.78615,0.24495,0.3273,0.00608
8540,0.78645,0.24539,0.32798,0.00505
8680,0.784,0.24536,0.32255,0.10172
8820,0.78625,0.24478,0.32751,0.10074
8960,0.78659,0.24553,0.32828,0.01439
9100,0.78657,0.24525,0.32822,0.0218
9240,0.78642,0.24566,0.32793,0.02456
9380,0.7853,0.24427,0.32541,0.03779
9520,0.78599,0.24604,0.32699,0.00472
9660,0.78552,0.24673,0.32597,0.03281
9800,0.7856,0.24591,0.32613,0.00408
9940,0.78505,0.24522,0.32489,0.00942
10080,0.7854,0.24488,0.32565,0.00238
10220,0.78637,0.24601,0.32783,0.00677
10360,0.78587,0.24488,0.32668,0.03877
10500,0.78652,0.24673,0.3282,0.00547
10640,0.78535,0.24245,0.32539,0.00668
10780,0.78535,0.24211,0.32534,0.00522
10920,0.78447,0.24022,0.32326,0.05781
11060,0.78422,0.23973,0.32268,0.00375
11200,0.78442,0.24013,0.32315,0.00263
11340,0.78388,0.23913,0.32193,0.01419
11480,0.78215,0.23585,0.3179,0.02463
11620,0.78235,0.23619,0.3184,0.01938
11760,0.78367,0.23866,0.32139,0.02264
11900,0.78327,0.23792,0.32044,0.00266
12040,0.78273,0.23691,0.31925,0.00434
12180,0.78257,0.2366,0.31891,0.00437
12320,0.78247,0.23644,0.31861,0.01845
12460,0.78223,0.23598,0.31812,0.00811
12600,0.78267,0.23678,0.31912,0.00522
