iter,acc,nmi,ari,loss
0,0.73331,0.21002,0.21711,0
140,0.73396,0.21257,0.2183,0.02003
280,0.73666,0.21553,0.22343,0.02458
420,0.74338,0.22172,0.23646,0.02149
560,0.74835,0.22507,0.24634,0.02565
700,0.75188,0.22834,0.25347,0.04531
840,0.75325,0.22954,0.25625,0.03636
980,0.75545,0.23318,0.26074,0.03817
1120,0.75128,0.23223,0.25218,0.02292
1260,0.75407,0.23461,0.25786,0.02866
1400,0.75364,0.23471,0.25697,0.02101
1540,0.75227,0.23371,0.25417,0.01716
1680,0.74561,0.23062,0.24076,0.02629
1820,0.74145,0.2276,0.23254,0.01964
1960,0.74688,0.22971,0.24331,0.01977
2100,0.75765,0.23645,0.26527,0.01441
2240,0.76011,0.23693,0.2704,0.02534
2380,0.76019,0.236,0.27059,0.02715
2520,0.76231,0.23629,0.27506,0.01652
2660,0.75957,0.23515,0.2693,0.01366
2800,0.76517,0.23773,0.28116,0.01185
2940,0.76671,0.23924,0.28443,0.0153
3080,0.77822,0.24398,0.3096,0.08299
3220,0.78133,0.24766,0.31658,0.00425
3360,0.78348,0.24726,0.32141,0.03873
3500,0.78223,0.24522,0.31858,0.02643
3640,0.7832,0.24572,0.32076,0.02837
3780,0.78255,0.24516,0.31929,0.01172
3920,0.78248,0.24449,0.31914,0.03229
4060,0.78285,0.24451,0.31996,0.01207
4200,0.78377,0.24539,0.32202,0.02059
4340,0.78173,0.2407,0.3174,0.03355
4480,0.78172,0.24048,0.31736,0.06023
4620,0.78168,0.24072,0.31729,0.01031
4760,0.78088,0.23932,0.31549,0.02752
4900,0.77963,0.23765,0.3127,0.00672
5040,0.77788,0.23592,0.30882,0.00462
5180,0.77306,0.23242,0.29824,0.02176
5320,0.77078,0.22986,0.29327,0.00846
5460,0.77004,0.22892,0.29168,0.01302
5600,0.76849,0.22696,0.28834,0.00349
5740,0.77031,0.22774,0.29226,0.00563
5880,0.76941,0.22587,0.29031,0.01684
6020,0.76736,0.22472,0.28591,0.02049
6160,0.76593,0.22325,0.28285,0.01035
6300,0.77099,0.22437,0.29371,0.01058
6440,0.77099,0.22395,0.2937,0.01825
6580,0.77223,0.22438,0.29636,0.00527
6720,0.77213,0.22635,0.29617,0.00501
6860,0.77258,0.22756,0.29716,0.01787
7000,0.77205,0.22817,0.29601,0.01544
7140,0.77351,0.23221,0.29922,0.02148
7280,0.77313,0.23081,0.29838,0.02086
7420,0.77325,0.23148,0.29863,0.00366
7560,0.77473,0.23205,0.30187,0.00688
7700,0.77498,0.23278,0.30242,0.00475
7840,0.77523,0.23328,0.30298,0.00838
7980,0.77161,0.23273,0.29508,0.00444
8120,0.7742,0.23455,0.30072,0.01361
8260,0.77651,0.23475,0.3058,0.0233
8400,0.77426,0.23509,0.30087,0.08487
8540,0.77336,0.23375,0.2989,0.04468
8680,0.77238,0.23307,0.29675,0.01158
8820,0.77066,0.23221,0.29302,0.0047
8960,0.77091,0.23211,0.29356,0.03307
9100,0.77156,0.23266,0.29497,0.01146
9240,0.76886,0.23126,0.28912,0.00539
9380,0.77463,0.23431,0.30167,0.02643
9520,0.7759,0.23582,0.30445,0.01073
9660,0.77498,0.23442,0.30243,0.0112
9800,0.77325,0.23332,0.29864,0.00271
9940,0.77423,0.23386,0.30079,0.03527
10080,0.77888,0.23595,0.31102,0.12196
10220,0.77942,0.23694,0.31221,0.00335
10360,0.78,0.23585,0.31346,0.04116
10500,0.78127,0.23741,0.31628,0.00465
10640,0.78062,0.23695,0.31485,0.00885
10780,0.78048,0.23734,0.31457,0.02792
10920,0.78018,0.2361,0.31387,0.01253
11060,0.78012,0.23536,0.3137,0.00498
11200,0.78048,0.23663,0.31455,0.00393
11340,0.78125,0.23677,0.31622,0.01059
11480,0.78187,0.23669,0.31754,0.00387
11620,0.78065,0.23407,0.31477,0.01038
11760,0.78078,0.23476,0.31511,0.00423
11900,0.78063,0.23479,0.31479,0.00858
12040,0.78128,0.23744,0.31632,0.00292
12180,0.78077,0.23712,0.31518,0.00749
12320,0.78047,0.2371,0.31452,0.00359
12460,0.77972,0.23554,0.31284,0.00346
12600,0.77925,0.23509,0.3118,0.02578
12740,0.77766,0.2352,0.30833,0.00608
12880,0.778,0.23515,0.30906,0.00438
13020,0.77675,0.23334,0.3063,0.00376
13160,0.77606,0.23318,0.3048,0.00302
13300,0.77345,0.23094,0.29907,0.00317
13440,0.77481,0.234,0.30207,0.01519
13580,0.77431,0.23323,0.30097,0.0047
13720,0.77333,0.23212,0.29882,0.00413
13860,0.7754,0.23221,0.30333,0.00336
14000,0.77671,0.23207,0.3062,0.011
14140,0.77711,0.23201,0.30707,0.00318
14280,0.77625,0.23211,0.30518,0.03951
14420,0.7768,0.23337,0.30641,0.00435
14560,0.77815,0.23469,0.30939,0.00463
14700,0.77868,0.23552,0.31057,0.01051
14840,0.77883,0.23592,0.31091,0.01489
14980,0.77972,0.23553,0.31284,0.01017
15120,0.77903,0.23457,0.31132,0.00705
15260,0.7785,0.23532,0.31017,0.0084
15400,0.77815,0.23497,0.30939,0.00372
15540,0.77731,0.23452,0.30755,0.02111
15680,0.77745,0.23498,0.30785,0.00639
15820,0.77735,0.23405,0.30762,0.03135
15960,0.77795,0.23506,0.30895,0.00343
16100,0.77791,0.23544,0.30889,0.04618
16240,0.77982,0.23541,0.31305,0.02043
16380,0.77811,0.23431,0.30931,0.00876
16520,0.77793,0.23453,0.30891,0.00324
16660,0.77815,0.23512,0.30939,0.00606
16800,0.77882,0.23627,0.31088,0.02829
16940,0.7789,0.23668,0.31107,0.00379
17080,0.77865,0.23669,0.31052,0.06646
17220,0.77666,0.23591,0.30614,0.01986
17360,0.77706,0.2358,0.30702,0.00239
17500,0.77713,0.23627,0.30717,0.01534
17640,0.775,0.23411,0.30247,0.01322
17780,0.77571,0.23412,0.30404,0.00671
17920,0.77408,0.23277,0.30046,0.00594
18060,0.77338,0.23236,0.29893,0.01138
18200,0.77436,0.23275,0.30108,0.00449
18340,0.77686,0.23592,0.30658,0.12763
18480,0.77533,0.23565,0.30321,0.0029
18620,0.77525,0.23603,0.30303,0.01069
18760,0.76939,0.23233,0.29027,0.0775
18900,0.76704,0.23199,0.28521,0.00412
19040,0.76656,0.23192,0.28417,0.00779
19180,0.76598,0.23076,0.28293,0.00268
19320,0.76281,0.22987,0.27619,0.00305
19460,0.76301,0.23003,0.27661,0.00438
19600,0.76291,0.23001,0.2764,0.00785
19740,0.76127,0.22835,0.27296,0.00267
19880,0.75795,0.22554,0.26603,0.01128
