iter,acc,nmi,ari,loss
0,0.70309,0.14358,0.1647,0
140,0.71271,0.14755,0.1809,0.00082
280,0.71555,0.14838,0.1858,0.00118
420,0.71633,0.14888,0.18716,0.0062
560,0.7183,0.14996,0.19059,0.02045
700,0.71702,0.14933,0.18835,0.03836
840,0.71915,0.15091,0.19208,0.03739
980,0.71905,0.15063,0.19191,0.03604
1120,0.71343,0.1464,0.18215,0.03277
1260,0.71353,0.14675,0.18232,0.03258
1400,0.71415,0.14708,0.18338,0.03644
1540,0.71218,0.14621,0.18,0.03605
1680,0.70978,0.1447,0.17592,0.0357
1820,0.70858,0.14451,0.17388,0.02509
1960,0.70781,0.1434,0.17261,0.03338
2100,0.70936,0.14388,0.17522,0.03261
2240,0.71511,0.14437,0.18508,0.13598
2380,0.71555,0.14398,0.18583,0.02317
2520,0.7156,0.14316,0.18592,0.01966
2660,0.71478,0.1432,0.18451,0.02872
2800,0.70903,0.14004,0.17472,0.03548
2940,0.70953,0.14031,0.17556,0.018
3080,0.7106,0.1405,0.17736,0.01924
3220,0.71088,0.14082,0.17784,0.01736
3360,0.71291,0.14435,0.18129,0.02062
3500,0.71328,0.14406,0.18192,0.05519
3640,0.71078,0.14081,0.17767,0.02952
3780,0.70197,0.13515,0.16304,0.03821
3920,0.70354,0.13604,0.16561,0.0244
4060,0.6966,0.13445,0.15433,0.04039
4200,0.69617,0.13372,0.15365,0.01506
4340,0.69721,0.13552,0.15527,0.04134
4480,0.69447,0.13484,0.1509,0.01728
4620,0.69876,0.13567,0.15778,0.01687
4760,0.69252,0.13263,0.14787,0.01397
4900,0.70112,0.13511,0.16165,0.02022
5040,0.70267,0.1361,0.16418,0.02318
5180,0.70126,0.13474,0.16187,0.02117
5320,0.69784,0.13267,0.15636,0.01637
5460,0.70446,0.13673,0.16711,0.02127
5600,0.70369,0.1363,0.16585,0.01634
5740,0.70137,0.13417,0.16208,0.01427
5880,0.70066,0.13344,0.16092,0.06421
6020,0.70419,0.13296,0.16673,0.01185
6160,0.70287,0.13165,0.16458,0.02532
6300,0.70032,0.12981,0.16044,0.02734
6440,0.69832,0.13026,0.15719,0.01597
6580,0.69607,0.12907,0.1536,0.02042
6720,0.696,0.12827,0.15351,0.04102
6860,0.69305,0.12981,0.14879,0.01165
7000,0.69237,0.12992,0.14771,0.01851
