iter,acc,nmi,ari,loss
0,0.54641,0.00222,-0.00489,0
140,0.54693,7e-05,-0.00116,0.00425
280,0.54743,2e-05,0.00071,0.0232
420,0.54482,0.0001,0.00145,0.02037
560,0.54362,0.00021,0.00215,0.02617
700,0.54177,0.00035,0.0027,0.03537
840,0.54057,0.00019,0.00196,0.05211
980,0.53652,0.00014,0.00159,0.0145
1120,0.53547,0.00014,0.00154,0.02388
1260,0.53252,9e-05,0.00114,0.03163
1400,0.53127,7e-05,0.00102,0.0184
1540,0.52995,1e-05,0.00044,0.04159
1680,0.53068,0.00012,0.00128,0.03128
1820,0.52756,0.00014,0.00122,0.05066
1960,0.52598,7e-05,0.00086,0.0313
2100,0.52376,4e-05,0.00059,0.03318
2240,0.52425,6e-05,0.00073,0.02906
2380,0.52069,4e-05,0.00052,0.0207
2520,0.51891,2e-05,0.00037,0.03407
2660,0.51933,1e-05,0.00018,0.02502
2800,0.52168,0.0,-6e-05,0.02852
2940,0.51988,2e-05,-0.00038,0.04085
3080,0.51946,1e-05,-0.00034,0.03751
3220,0.51969,1e-05,-0.00032,0.01611
3360,0.51971,2e-05,-0.00046,0.01114
3500,0.51931,1e-05,-0.00032,0.0368
3640,0.51881,0.0,-0.0002,0.02777
3780,0.51961,0.0,-0.00019,0.01615
3920,0.51808,2e-05,-0.00034,0.03069
4060,0.51798,2e-05,-0.00037,0.02314
4200,0.51731,2e-05,-0.00035,0.02036
4340,0.51537,3e-05,-0.00042,0.03055
4480,0.51583,3e-05,-0.00042,0.0112
4620,0.51501,5e-05,-0.00052,0.02232
4760,0.51744,2e-05,-0.00043,0.02296
4900,0.51836,2e-05,-0.0004,0.01052
5040,0.51874,2e-05,-0.00042,0.01882
5180,0.51879,9e-05,-0.00085,0.01597
5320,0.51971,8e-05,-0.00085,0.00831
5460,0.51809,0.00013,-0.00106,0.0265
5600,0.51971,0.00019,-0.00133,0.02911
5740,0.51779,0.00021,-0.00132,0.01482
5880,0.51714,0.00025,-0.00142,0.08346
6020,0.51639,0.00026,-0.00143,0.00809
6160,0.51599,0.00029,-0.00148,0.03017
6300,0.51596,0.00026,-0.0014,0.01937
6440,0.51412,0.0004,-0.00166,0.01658
6580,0.51439,0.00032,-0.00146,0.0177
6720,0.51457,0.00026,-0.00133,0.01816
6860,0.51542,0.00018,-0.00111,0.01526
7000,0.51522,0.00018,-0.00111,0.02338
7140,0.51429,0.00029,-0.00139,0.0246
7280,0.51387,0.00024,-0.00122,0.00926
7420,0.51441,0.00026,-0.00131,0.0231
7560,0.51457,0.00026,-0.00131,0.00959
7700,0.51447,0.00023,-0.00123,0.03173
7840,0.51486,0.00019,-0.00112,0.01039
7980,0.51499,0.00015,-0.00098,0.00803
8120,0.51536,0.00017,-0.00106,0.00972
8260,0.51557,0.00015,-0.00102,0.02267
8400,0.51623,0.0001,-0.00085,0.0215
8540,0.51624,0.00011,-0.00089,0.0355
8680,0.51477,0.00014,-0.00096,0.00987
8820,0.51427,0.00013,-0.00088,0.00843
8960,0.51429,0.00018,-0.00105,0.00692
