iter,acc,nmi,ari,loss
0,0.51524,0.00022,0.00074,0
140,0.51031,0.00013,0.00036,0.00046
280,0.50715,7e-05,0.00017,0.00088
420,0.5059,5e-05,0.00011,0.00285
560,0.50502,4e-05,7e-05,0.01392
700,0.50098,0.0,-1e-05,0.03941
840,0.50499,7e-05,8e-05,0.0444
980,0.50614,4e-05,0.00011,0.0401
1120,0.5029,6e-05,1e-05,0.04101
1260,0.50635,1e-05,7e-05,0.03316
1400,0.5049,2e-05,6e-05,0.03779
1540,0.51948,0.00055,0.00136,0.1065
1680,0.51808,0.00045,0.00115,0.02486
1820,0.51941,0.00056,0.00136,0.02835
1960,0.52243,0.00074,0.00181,0.0283
2100,0.52471,0.0008,0.00215,0.12925
2240,0.5276,0.00083,0.00253,0.07831
2380,0.52478,0.00078,0.00214,0.02252
2520,0.52198,0.00059,0.00166,0.02288
2660,0.52096,0.00045,0.00144,0.03854
2800,0.51444,0.00017,0.00063,0.19857
2940,0.51209,0.0001,0.00041,0.03676
3080,0.51939,0.00029,0.00112,0.06281
3220,0.50961,5e-05,0.00023,0.0161
3360,0.5063,2e-05,9e-05,0.02176
3500,0.5046,1e-05,3e-05,0.02998
3640,0.50127,0.0,-2e-05,0.03366
3780,0.50148,0.0,-2e-05,0.01952
3920,0.50966,6e-05,0.00026,0.02188
4060,0.5091,5e-05,0.00022,0.01534
4200,0.51631,0.00024,0.00083,0.01509
4340,0.51901,0.00033,0.00114,0.02557
4480,0.51561,0.00018,0.0007,0.01478
4620,0.51459,0.00018,0.00064,0.02381
4760,0.507,4e-05,0.00013,0.04654
4900,0.51527,0.00021,0.00072,0.02139
5040,0.51419,0.00022,0.00066,0.0478
5180,0.51381,0.00017,0.00059,0.01277
5320,0.51666,0.00029,0.00091,0.03026
5460,0.51429,0.00024,0.00069,0.02085
5600,0.51332,0.0002,0.00059,0.0132
5740,0.51127,0.00013,0.00041,0.08575
5880,0.50829,5e-05,0.00019,0.01201
6020,0.50994,9e-05,0.0003,0.0128
6160,0.50914,8e-05,0.00026,0.04377
6300,0.50977,8e-05,0.00028,0.02336
6440,0.50827,8e-05,0.00022,0.01264
6580,0.50795,9e-05,0.00022,0.01153
6720,0.51464,0.00029,0.00075,0.05122
6860,0.51586,0.00036,0.0009,0.01616
7000,0.51341,0.00022,0.00061,0.02937
7140,0.51124,0.00018,0.00044,0.03192
7280,0.51417,0.00024,0.00068,0.01097
7420,0.51447,0.00027,0.00073,0.02971
7560,0.50967,0.00013,0.00032,0.01179
7700,0.50812,8e-05,0.00021,0.02193
7840,0.50509,6e-05,8e-05,0.02643
7980,0.50492,4e-05,7e-05,0.04738
8120,0.50712,0.00012,0.00018,0.02869
8260,0.51112,0.00027,0.00047,0.01222
8400,0.50529,6e-05,9e-05,0.01194
8540,0.50867,0.00016,0.00028,0.02092
8680,0.51054,0.00023,0.00042,0.02477
8820,0.52415,0.00089,0.00213,0.13427
8960,0.52258,0.00078,0.00186,0.00953
9100,0.51943,0.00061,0.00139,0.08029
9240,0.52091,0.00069,0.0016,0.02562
9380,0.52004,0.00067,0.00149,0.0114
9520,0.51666,0.00055,0.00106,0.12472
9660,0.51502,0.0005,0.00087,0.0619
9800,0.52021,0.00072,0.00153,0.19635
9940,0.52109,0.00077,0.00166,0.00986
10080,0.52378,0.00091,0.00208,0.00909
10220,0.52703,0.00122,0.00272,0.01203
10360,0.5271,0.00129,0.00276,0.02403
10500,0.53165,0.00176,0.00377,0.01562
10640,0.52907,0.00149,0.00318,0.01199
10780,0.52738,0.00119,0.00276,0.01586
10920,0.51988,0.00066,0.00146,0.00914
11060,0.51668,0.00043,0.00101,0.01423
11200,0.51726,0.00043,0.00106,0.00921
