iter,acc,nmi,ari,loss
0,0.51976,0.00145,0.00152,0
140,0.52326,0.00167,0.00215,0.00324
280,0.52283,0.0016,0.00207,0.00332
420,0.52305,0.00161,0.00211,0.01252
560,0.52516,0.00184,0.00252,0.02993
700,0.52253,0.00162,0.00201,0.03942
840,0.52291,0.00167,0.00208,0.03777
980,0.52221,0.0016,0.00195,0.03825
1120,0.5259,0.00184,0.00266,0.03477
1260,0.52411,0.00166,0.00231,0.0307
1400,0.52326,0.00162,0.00215,0.02836
1540,0.52398,0.00164,0.00228,0.02673
1680,0.52393,0.00164,0.00227,0.02792
1820,0.52463,0.00172,0.00241,0.02472
1960,0.52533,0.00184,0.00255,0.02589
2100,0.52455,0.00176,0.00239,0.02356
2240,0.52843,0.00198,0.00319,0.02068
2380,0.53739,0.00304,0.00546,0.02625
2520,0.53722,0.00304,0.00541,0.02258
2660,0.53505,0.00283,0.00483,0.02674
2800,0.53582,0.0029,0.00503,0.01914
2940,0.53243,0.00258,0.00416,0.02278
3080,0.53163,0.0025,0.00396,0.02166
3220,0.53505,0.00259,0.00477,0.0299
3360,0.53292,0.00241,0.00424,0.0167
3500,0.53313,0.00227,0.00425,0.02338
3640,0.532,0.00213,0.00397,0.01632
3780,0.53327,0.00221,0.00426,0.01729
3920,0.53375,0.00223,0.00437,0.01617
4060,0.5369,0.00267,0.00523,0.02556
4200,0.54547,0.00367,0.00779,0.01508
4340,0.54276,0.00344,0.00697,0.02039
4480,0.54332,0.00359,0.00718,0.01405
4620,0.54332,0.00372,0.00722,0.0187
4760,0.55174,0.00485,0.01012,0.08064
4900,0.55286,0.00508,0.01056,0.0149
5040,0.54974,0.00451,0.00936,0.01307
5180,0.54883,0.00434,0.00902,0.01441
5320,0.54904,0.00437,0.0091,0.01322
5460,0.54953,0.00456,0.00932,0.01487
5600,0.54994,0.00456,0.00945,0.03241
5740,0.54814,0.00431,0.00881,0.01209
5880,0.54861,0.0044,0.00898,0.0124
6020,0.55316,0.00514,0.01068,0.01923
6160,0.55576,0.00561,0.01172,0.01155
6300,0.55239,0.00516,0.01045,0.01328
6440,0.55051,0.00487,0.00974,0.01209
6580,0.55158,0.00516,0.01019,0.01108
6720,0.54971,0.00476,0.00946,0.01416
6860,0.55046,0.00488,0.00973,0.01184
7000,0.54869,0.00462,0.00909,0.01752
7140,0.54926,0.0046,0.00926,0.04946
