iter,acc,nmi,ari,loss
0,0.69711,0.11239,0.15529,0
140,0.695,0.11099,0.15203,0.00056
280,0.69434,0.11068,0.15101,0.00185
420,0.69362,0.11027,0.1499,0.00967
560,0.69524,0.11173,0.15241,0.03037
700,0.69209,0.10983,0.14756,0.03622
840,0.69315,0.11049,0.1492,0.03611
980,0.69392,0.1111,0.15038,0.03955
1120,0.69255,0.11018,0.14828,0.03328
1260,0.69197,0.11047,0.14739,0.03465
1400,0.6948,0.11269,0.15176,0.03306
1540,0.69485,0.11292,0.15184,0.02833
1680,0.6956,0.11354,0.15301,0.0277
1820,0.69564,0.11376,0.15306,0.02494
1960,0.69515,0.11342,0.15231,0.02476
2100,0.69659,0.11429,0.15455,0.02458
2240,0.69645,0.11366,0.15433,0.02246
2380,0.69585,0.11282,0.15338,0.02184
2520,0.69547,0.11296,0.15279,0.02484
2660,0.69662,0.11331,0.15458,0.02071
2800,0.69751,0.11329,0.15594,0.01932
2940,0.6951,0.11148,0.1522,0.02223
3080,0.69495,0.11157,0.15197,0.01758
3220,0.69559,0.11191,0.15295,0.02462
3360,0.69819,0.11432,0.15703,0.02853
3500,0.69839,0.11422,0.15734,0.01976
3640,0.70062,0.11542,0.16084,0.02654
3780,0.70277,0.11673,0.16423,0.016
3920,0.70262,0.11675,0.164,0.01543
4060,0.70064,0.11487,0.16083,0.02456
4200,0.70294,0.11722,0.16452,0.07716
4340,0.70087,0.1156,0.16123,0.01344
4480,0.70089,0.11622,0.16129,0.01421
4620,0.69791,0.11394,0.15658,0.0473
4760,0.69752,0.1144,0.156,0.01394
4900,0.69849,0.11431,0.15749,0.0136
5040,0.69832,0.11386,0.15722,0.01586
5180,0.69906,0.11344,0.15833,0.01488
5320,0.69744,0.11345,0.15584,0.01371
5460,0.69859,0.11435,0.15765,0.0168
5600,0.69634,0.11318,0.15414,0.06692
5740,0.6967,0.11325,0.1547,0.01254
5880,0.69714,0.11314,0.15537,0.01237
6020,0.69637,0.11258,0.15417,0.01315
6160,0.69664,0.11233,0.15458,0.01198
6300,0.69584,0.11197,0.15334,0.01197
6440,0.69445,0.11122,0.1512,0.01165
6580,0.69445,0.11147,0.1512,0.01218
6720,0.69335,0.11046,0.1495,0.01189
6860,0.69726,0.11323,0.15555,0.01175
7000,0.69777,0.11333,0.15635,0.02144
7140,0.70006,0.1148,0.15993,0.01152
7280,0.70161,0.11538,0.16235,0.03069
7420,0.70021,0.11443,0.16014,0.01142
7560,0.70104,0.11495,0.16145,0.01162
7700,0.70159,0.11539,0.16232,0.01055
7840,0.70219,0.11641,0.16331,0.0432
7980,0.70371,0.11655,0.16563,0.01313
8120,0.70319,0.11625,0.16482,0.01352
8260,0.70376,0.1173,0.16578,0.01008
8400,0.70418,0.11784,0.16646,0.0097
8540,0.70242,0.11661,0.16368,0.04731
8680,0.70291,0.11656,0.16442,0.00973
8820,0.70366,0.11723,0.16562,0.01043
8960,0.70364,0.11688,0.16556,0.01525
9100,0.70358,0.11693,0.16547,0.00906
9240,0.70628,0.11921,0.16977,0.01967
9380,0.70733,0.12013,0.17145,0.02687
9520,0.70771,0.12065,0.17209,0.01006
9660,0.70664,0.11926,0.17032,0.0155
9800,0.70774,0.11994,0.17199,0.01002
9940,0.70799,0.1203,0.17242,0.00928
10080,0.70889,0.12141,0.17391,0.01826
10220,0.70976,0.12224,0.17527,0.00955
10360,0.71006,0.12255,0.17574,0.00863
10500,0.70934,0.12186,0.17462,0.0087
10640,0.70963,0.12212,0.17506,0.00881
10780,0.70926,0.12203,0.17456,0.00903
10920,0.70854,0.12094,0.17332,0.02084
11060,0.70879,0.12115,0.1737,0.00879
11200,0.70864,0.12099,0.17346,0.0083
11340,0.70843,0.12093,0.17316,0.00857
11480,0.70859,0.1211,0.17343,0.00841
11620,0.70961,0.12241,0.17513,0.02021
11760,0.70878,0.12134,0.17373,0.01336
11900,0.70659,0.11891,0.17018,0.01093
12040,0.70654,0.1192,0.17016,0.01213
12180,0.70596,0.11853,0.16921,0.00759
12320,0.70633,0.11899,0.16981,0.01834
12460,0.70399,0.11692,0.16609,0.00824
12600,0.70371,0.11635,0.1656,0.00803
12740,0.70341,0.11628,0.16515,0.02103
12880,0.70334,0.1162,0.16504,0.00778
13020,0.70334,0.11606,0.16503,0.00917
13160,0.70316,0.11588,0.16473,0.01003
