iter,acc,nmi,ari,loss
0,0.56849,0.00075,-6e-05,0
140,0.56328,0.00476,-0.00214,0.00215
280,0.54769,0.00539,-0.00611,0.00428
420,0.53095,0.0063,-0.00803,0.00817
560,0.51863,0.00616,-0.00773,0.02923
700,0.51107,0.00679,-0.00734,0.02866
840,0.50664,0.00784,-0.00726,0.02808
980,0.50255,0.00832,-0.00683,0.04376
1120,0.50462,0.0087,-0.0056,0.03115
1260,0.51242,0.00991,-0.00419,0.04727
1400,0.51469,0.00937,-0.00335,0.02691
1540,0.51743,0.00871,-0.00228,0.03349
1680,0.52041,0.00903,-0.0015,0.03944
1820,0.52193,0.00863,-0.00085,0.04207
1960,0.52315,0.00898,-0.0006,0.03427
2100,0.52546,0.00873,0.00028,0.03189
2240,0.52863,0.00917,0.00123,0.04397
2380,0.53527,0.01011,0.00343,0.05066
2520,0.53739,0.00873,0.00468,0.042
2660,0.53835,0.00846,0.00514,0.04952
2800,0.53754,0.00766,0.00504,0.03225
2940,0.53809,0.00731,0.00533,0.04828
3080,0.5406,0.00749,0.00626,0.02288
3220,0.54456,0.00836,0.00767,0.0576
3360,0.54311,0.00801,0.00715,0.03245
3500,0.53817,0.00672,0.0055,0.10732
3640,0.55169,0.00916,0.01062,0.03741
3780,0.55254,0.00932,0.01098,0.20677
3920,0.55386,0.00948,0.01156,0.02166
4060,0.55159,0.00913,0.01058,0.05196
4200,0.55209,0.00982,0.01073,0.0195
4340,0.55513,0.01134,0.01199,0.02434
4480,0.55728,0.01188,0.01298,0.01576
4620,0.5547,0.01129,0.01178,0.04995
4760,0.55391,0.01024,0.01153,0.03685
4900,0.55311,0.00993,0.01119,0.0175
5040,0.56625,0.01356,0.01753,0.02175
5180,0.56442,0.01207,0.01658,0.01718
5320,0.56178,0.01059,0.01524,0.04443
5460,0.56113,0.00972,0.01487,0.0126
5600,0.56085,0.0098,0.01475,0.02665
5740,0.56013,0.0093,0.01438,0.14324
5880,0.55343,0.00706,0.01131,0.03094
6020,0.54931,0.00631,0.00967,0.01678
6160,0.55023,0.00645,0.01002,0.01674
6300,0.54466,0.00543,0.00795,0.20749
