iter,acc,nmi,ari,loss
0,0.76026,0.22224,0.27087,0
140,0.75762,0.21995,0.26539,0.03687
280,0.75744,0.22039,0.26501,0.0361
420,0.76314,0.22551,0.27693,0.03115
560,0.76172,0.22443,0.27394,0.03414
700,0.75837,0.22501,0.26691,0.03235
840,0.76666,0.23088,0.28439,0.02062
980,0.77351,0.23632,0.29922,0.02208
1120,0.77405,0.23682,0.30039,0.02601
1260,0.77651,0.24016,0.30583,0.02428
1400,0.77453,0.23879,0.30145,0.02063
1540,0.77375,0.23976,0.29973,0.03053
1680,0.77223,0.23882,0.29641,0.01254
1820,0.77159,0.23913,0.29502,0.03336
1960,0.77111,0.23998,0.29396,0.01558
2100,0.76814,0.23885,0.28753,0.02008
2240,0.76693,0.23917,0.2849,0.02114
2380,0.76706,0.23919,0.28519,0.018
2520,0.76107,0.23411,0.27248,0.01361
2660,0.76526,0.23673,0.28134,0.00909
2800,0.76581,0.23702,0.28252,0.02158
2940,0.76803,0.24004,0.28727,0.01167
3080,0.76891,0.23981,0.28918,0.01701
3220,0.77061,0.242,0.29286,0.00763
3360,0.77253,0.24285,0.29705,0.01285
3500,0.77503,0.24503,0.30254,0.02871
3640,0.77505,0.24401,0.30258,0.01073
3780,0.77473,0.24375,0.30188,0.0097
3920,0.7754,0.24552,0.30335,0.01826
4060,0.77458,0.24431,0.30155,0.01073
4200,0.77318,0.24418,0.29846,0.00562
4340,0.77585,0.24648,0.30434,0.00552
4480,0.77513,0.24607,0.30275,0.00614
4620,0.77023,0.24124,0.29203,0.01295
4760,0.76614,0.23736,0.28323,0.00562
4900,0.76988,0.24047,0.29127,0.01396
5040,0.77029,0.24152,0.29217,0.01734
5180,0.76794,0.23983,0.28709,0.00852
5320,0.7724,0.2433,0.29675,0.02502
5460,0.77275,0.24358,0.29752,0.00914
5600,0.777,0.24751,0.30689,0.00999
5740,0.7774,0.24763,0.30778,0.00868
5880,0.7754,0.24532,0.30335,0.00953
6020,0.77835,0.24635,0.3099,0.01312
6160,0.78183,0.24956,0.31771,0.00763
6300,0.78027,0.2477,0.31418,0.01122
6440,0.78023,0.24739,0.31411,0.00425
6580,0.77243,0.23687,0.29685,0.04648
6720,0.77391,0.23865,0.3001,0.00545
6860,0.77495,0.23852,0.30237,0.01102
7000,0.77526,0.23798,0.30307,0.00672
7140,0.77505,0.23703,0.30259,0.01368
7280,0.77363,0.23648,0.29948,0.01269
7420,0.77688,0.23913,0.30664,0.00798
7560,0.77892,0.23938,0.31114,0.01125
7700,0.78123,0.24142,0.31631,0.0097
7840,0.78088,0.2407,0.31552,0.00576
7980,0.78332,0.24401,0.32099,0.00268
8120,0.77868,0.2403,0.31063,0.0609
8260,0.77626,0.23945,0.30527,0.02125
8400,0.77726,0.24045,0.30749,0.06065
8540,0.77771,0.24141,0.30849,0.01719
8680,0.77663,0.24001,0.30609,0.00456
8820,0.77937,0.24154,0.31215,0.00334
8960,0.78075,0.24096,0.31522,0.00428
9100,0.78188,0.24282,0.31777,0.00677
9240,0.78233,0.24302,0.31878,0.02554
9380,0.7821,0.24296,0.31826,0.00522
9520,0.7833,0.2425,0.32092,0.01368
9660,0.78123,0.24128,0.3163,0.00591
9800,0.7795,0.24121,0.31245,0.00333
9940,0.78,0.24205,0.31357,0.01206
10080,0.77548,0.23602,0.30354,0.02898
10220,0.77161,0.2321,0.29508,0.01505
10360,0.77298,0.23385,0.29806,0.01554
10500,0.7726,0.22995,0.29721,0.02873
10640,0.77401,0.231,0.3003,0.00379
10780,0.77425,0.23156,0.30081,0.02094
10920,0.774,0.23208,0.30027,0.0062
11060,0.77386,0.23203,0.29998,0.0028
11200,0.77475,0.23277,0.30191,0.0034
11340,0.77373,0.23124,0.29968,0.00643
11480,0.77241,0.22947,0.29681,0.00451
11620,0.77365,0.22985,0.29949,0.00867
11760,0.77526,0.23098,0.30302,0.00232
11900,0.77628,0.23165,0.30525,0.01234
12040,0.77578,0.2312,0.30415,0.00234
12180,0.77268,0.22826,0.29738,0.00819
12320,0.77581,0.23019,0.30421,0.00219
12460,0.77708,0.23174,0.30699,0.00295
12600,0.77675,0.23068,0.30624,0.00181
12740,0.77628,0.22964,0.3052,0.00497
12880,0.77751,0.23057,0.3079,0.00878
13020,0.77608,0.23168,0.30481,0.00292
13160,0.77545,0.23161,0.30343,0.00858
13300,0.77596,0.23161,0.30456,0.00266
13440,0.7765,0.23038,0.30569,0.00548
13580,0.77413,0.22799,0.30052,0.02479
13720,0.77331,0.22715,0.29874,0.00235
13860,0.77665,0.23204,0.30606,0.00166
14000,0.77656,0.23228,0.30588,0.00238
14140,0.77505,0.23069,0.30255,0.00261
14280,0.77418,0.23024,0.30066,0.00173
14420,0.77533,0.23175,0.30318,0.00185
14560,0.77396,0.23007,0.30018,0.00556
14700,0.77426,0.23052,0.30084,0.00313
