epoch,loss
0,1.094806432723999
1,0.5257471799850464
2,0.44678884744644165
3,0.26986879110336304
4,0.13902929425239563
5,0.09095729887485504
6,0.04233663156628609
7,0.011298165656626225
8,0.002400012221187353
9,0.000516064465045929
10,0.00012724391126539558
11,3.968370583606884e-05
12,1.5925812476780266e-05
13,7.953221029310953e-06
14,4.671504029829521e-06
15,3.08986273012124e-06
16,2.267308673253865e-06
17,1.7785457657737425e-06
18,1.492440901529335e-06
19,1.3374673244470614e-06
20,1.2182570117147407e-06
21,1.1467302556411596e-06
22,1.0752048638096312e-06
23,1.027520738716703e-06
24,9.798361588764237e-07
25,9.440730650567275e-07
26,8.96389451554569e-07
27,8.606264714217104e-07
28,8.129416642077558e-07
29,7.771788546051539e-07
30,7.294950137293199e-07
31,6.93731806222786e-07
32,6.460480790337897e-07
33,6.102849283706746e-07
34,5.62600916964584e-07
35,5.268380505185633e-07
36,4.910752977593802e-07
37,4.672332067912066e-07
38,4.3147036876689526e-07
39,4.076284767506877e-07
40,3.8378658473448013e-07
41,3.5994449376630655e-07
42,3.36102601750099e-07
43,3.241816557419952e-07
44,3.0033967846065934e-07
45,2.884188745611027e-07
46,2.764978148661612e-07
47,2.6457681201463856e-07
48,2.526558660065348e-07
49,2.4073489157672157e-07
50,2.288139739903272e-07
51,2.1689307061478758e-07
52,2.1689307061478758e-07
53,2.0497218145010265e-07
54,1.9305120702028944e-07
55,1.9305120702028944e-07
56,1.9305120702028944e-07
57,1.8113027522304037e-07
58,1.8113027522304037e-07
59,1.692093292149366e-07
60,1.6920931500408187e-07
61,1.692093292149366e-07
62,1.692093292149366e-07
63,1.5728839741768752e-07
64,1.5728839741768752e-07
65,1.5728839741768752e-07
66,1.5728839741768752e-07
67,1.572883832068328e-07
68,1.4536746562043845e-07
69,1.4536746562043845e-07
70,1.4536746562043845e-07
71,1.4536746562043845e-07
72,1.4536746562043845e-07
73,1.4536746562043845e-07
74,1.4536746562043845e-07
75,1.4536746562043845e-07
76,1.4536746562043845e-07
77,1.3344653382318938e-07
78,1.3344651961233467e-07
79,1.3344651961233467e-07
80,1.3344653382318938e-07
81,1.3344653382318938e-07
82,1.3344651961233467e-07
83,1.3344653382318938e-07
84,1.3344651961233467e-07
85,1.3344651961233467e-07
86,1.3344651961233467e-07
87,1.3344653382318938e-07
88,1.3344653382318938e-07
89,1.3344653382318938e-07
90,1.3344651961233467e-07
91,1.3344651961233467e-07
92,1.3344653382318938e-07
93,1.3344651961233467e-07
94,1.2152560202594032e-07
95,1.215255878150856e-07
96,1.2152560202594032e-07
97,1.215255878150856e-07
98,1.2152560202594032e-07
99,1.215255878150856e-07
