iter,acc,nmi,ari,loss
0,0.55735,0.0,0.00017,0
140,0.56128,0.00122,0.0056,0.00877
280,0.55886,0.00154,0.00671,0.01938
420,0.55515,0.00136,0.00625,0.02553
560,0.55144,0.00126,0.00585,0.02984
700,0.54609,0.00094,0.00472,0.02823
840,0.54334,0.00075,0.00403,0.03421
980,0.54151,0.00071,0.0038,0.03395
1120,0.54142,0.00077,0.00395,0.03157
1260,0.54054,0.00071,0.00372,0.02948
1400,0.54007,0.00068,0.00361,0.03837
1540,0.53824,0.0007,0.0035,0.0301
1680,0.5381,0.00067,0.00342,0.02447
1820,0.53759,0.00063,0.0033,0.02734
1960,0.53694,0.00061,0.00318,0.02514
2100,0.53719,0.00052,0.00299,0.06287
2240,0.53704,0.00044,0.00277,0.02495
2380,0.53719,0.00047,0.00285,0.02571
2520,0.53607,0.00037,0.0025,0.03061
2660,0.5366,0.00045,0.00275,0.02153
2800,0.53645,0.00042,0.00267,0.02505
2940,0.53627,0.00042,0.00265,0.02766
3080,0.5355,0.00038,0.00249,0.02064
3220,0.5354,0.00038,0.00249,0.02038
3360,0.53505,0.00034,0.00232,0.02317
3500,0.53507,0.00041,0.00255,0.03236
3640,0.53445,0.00034,0.0023,0.02044
3780,0.5344,0.00037,0.00238,0.0246
3920,0.53459,0.00039,0.00246,0.01993
4060,0.5343,0.00034,0.0023,0.026
4200,0.53477,0.00033,0.0023,0.02128
4340,0.53544,0.00033,0.00233,0.02029
4480,0.53527,0.00033,0.00231,0.01573
4620,0.53477,0.00031,0.00221,0.02539
4760,0.53455,0.00027,0.00209,0.02534
4900,0.5344,0.00026,0.00203,0.01993
5040,0.53417,0.00025,0.00199,0.0173
5180,0.53395,0.00024,0.00193,0.0152
5320,0.53315,0.00023,0.00184,0.0317
5460,0.53332,0.00023,0.00188,0.0154
5600,0.53195,0.00013,0.00137,0.02187
5740,0.53187,0.00015,0.00145,0.01474
5880,0.53143,0.00014,0.0014,0.01513
6020,0.5323,0.00018,0.0016,0.02134
6160,0.53197,0.00016,0.00153,0.01552
6300,0.5318,0.00016,0.00149,0.01741
6440,0.53168,0.00016,0.00152,0.01315
6580,0.5316,0.00018,0.0016,0.01223
6720,0.53203,0.00018,0.0016,0.02066
6860,0.53182,0.00017,0.00157,0.02179
7000,0.5309,0.00019,0.00159,0.04013
7140,0.53093,0.00018,0.00156,0.01154
7280,0.53055,0.00018,0.00154,0.01901
7420,0.53015,0.00017,0.00147,0.01433
7560,0.52993,0.00017,0.00146,0.01654
7700,0.52903,0.00015,0.00134,0.02625
7840,0.5291,0.00013,0.00125,0.0322
7980,0.52892,0.00012,0.00121,0.01388
8120,0.5288,0.00012,0.00121,0.01534
8260,0.52902,0.00014,0.00132,0.01457
8400,0.52905,0.00014,0.00132,0.01187
8540,0.52925,0.00016,0.00139,0.01192
8680,0.52893,0.00015,0.00133,0.01296
