iter,acc,nmi,ari,loss
0,0.56694,0.00359,-0.00076,0
140,0.55468,0.00403,-0.00442,0.00255
280,0.53804,0.0025,-0.00567,0.00819
420,0.52646,0.00196,-0.00508,0.01829
560,0.52001,0.00177,-0.00445,0.0387
700,0.51549,0.00163,-0.00387,0.03722
840,0.51467,0.00129,-0.00333,0.02889
980,0.51077,0.00148,-0.00318,0.03752
1120,0.50889,0.00151,-0.00299,0.05523
1260,0.50804,0.00135,-0.00269,0.05404
1400,0.50957,0.00097,-0.00233,0.04236
1540,0.50922,0.00096,-0.00228,0.04665
1680,0.5084,0.00064,-0.00168,0.04726
1820,0.50567,0.00071,-0.00152,0.04767
1960,0.50175,0.00098,-0.00145,0.04094
2100,0.50037,0.00119,-0.0014,0.04476
2240,0.50655,0.00158,-0.00083,0.04566
2380,0.50038,0.00115,-0.00146,0.04201
2520,0.50158,0.00109,-0.00114,0.03202
2660,0.50003,0.00087,-0.0011,0.04287
2800,0.50065,0.00078,-0.00092,0.03406
2940,0.50504,0.00106,-0.00063,0.04095
3080,0.50482,0.00085,-0.00048,0.03901
3220,0.50789,0.00096,-0.00016,0.02405
3360,0.5084,0.0009,-4e-05,0.02205
3500,0.50842,0.00062,0.00013,0.02542
3640,0.51501,0.00105,0.00083,0.04381
3780,0.51277,0.00133,0.00037,0.02739
3920,0.51457,0.00142,0.00063,0.03402
4060,0.51086,0.00104,0.00022,0.01898
4200,0.51114,0.00092,0.00032,0.0705
4340,0.50939,0.00037,0.00032,0.13331
4480,0.51099,0.00055,0.00044,0.01707
4620,0.50734,0.00031,0.00017,0.03897
4760,0.51099,0.00039,0.00047,0.02424
4900,0.51017,0.00042,0.00038,0.03627
5040,0.50679,0.00021,0.00016,0.07046
5180,0.50534,0.0002,6e-05,0.01555
5320,0.50625,0.00018,0.00013,0.01518
5460,0.50779,0.00022,0.00022,0.01577
5600,0.5071,0.00037,0.00012,0.031
5740,0.50744,0.00032,0.00017,0.02752
5880,0.50867,0.00031,0.00027,0.02105
6020,0.50574,9e-05,0.00011,0.04795
6160,0.50477,7e-05,7e-05,0.02365
6300,0.50622,0.00012,0.00014,0.01561
6440,0.50827,0.00019,0.00026,0.01914
6580,0.50812,0.00014,0.00024,0.02899
6720,0.50804,0.00013,0.00023,0.03315
6860,0.51022,0.00025,0.0004,0.04633
7000,0.51044,0.00027,0.00042,0.01988
7140,0.51299,0.00068,0.00064,0.07004
7280,0.51169,0.00065,0.00049,0.03049
7420,0.51161,0.00035,0.00052,0.18517
7560,0.51251,0.00038,0.0006,0.02553
7700,0.51507,0.00082,0.00088,0.02699
7840,0.51573,0.00075,0.00097,0.06631
7980,0.51703,0.00077,0.00114,0.02589
8120,0.51844,0.0009,0.00134,0.04289
8260,0.51756,0.00057,0.00116,0.01538
8400,0.51874,0.00098,0.00139,0.09613
8540,0.52003,0.00094,0.00157,0.03037
8680,0.52098,0.00104,0.00172,0.03965
8820,0.5222,0.00116,0.00193,0.02087
